ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Npas2_CT0/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT4/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT8/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT12/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT16/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT20/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_Input/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
719	chr2	167653891	167654380	167654095	9	Intergenic	Intergenic	-103692	uc008oaj.1	Ptpn1	tyrosine-protein phosphatase non-receptor type	2.88	5.77	11.53	4.81	6.73	0.96	2.88	Npas2-719	0	mle	1	24.0481927711	3.7313492024	9.0118583931	5.4466666667	0.6387696452	0.558496233	0.6083816211	0.0102336149	0.0019230281	0.028798051
720	chr2	172978051	172978411	172978205	9	promoter-TSS (uc008odn.1)	promoter-TSS (NM_011044)	-343	uc008odn.1	Pck1	phosphoenolpyruvate carboxykinase, cytosolic	8.65	11.53	12.5	9.61	0.96	2.88	1.92	Npas2-720	0	burg	1	23.6213017751	5.1139942785	6.6723602668	7.6883333333	0.8054471276	0.762213156	0.5592352308	0.0006319306	0.0003831904	0.0057384163
721	chr2	180459851	180460110	180459995	9	promoter-TSS (uc008oka.1)	promoter-TSS (NM_183161)	-64	uc008oka.1	Slc17a9	solute carrier family 17 member 9	9.61	0.96	5.77	4.81	4.81	1.92	0	Npas2-721	1	mle	1	27.3424657534	0.4936005724	25.2651980061	4.6466666667	0.0160912576	-0.2025551295	0.6021732914	0.9296012253	0.0623924727	0.934350146
722	chr3	19347791	19348150	19347935	9	Intergenic	Intergenic	-83277	uc012cns.1	Dnajc5b	dnaJ homolog subfamily C member 5B	2.88	3.84	6.73	10.57	3.84	2.88	3.84	Npas2-722	1	burg	1	23.0751445087	3.3281237114	11.1713083039	5.1233333333	0.7578407796	0.7040276196	0.5381276319	0.0016922111	0.0006788605	0.0101661843
723	chr3	28623971	28624231	28624115	9	intron (uc008oua.2, intron 8 of 10)	intron (NM_031197, intron 8 of 10)	27276	uc008oua.2	Slc2a2	solute carrier family 2, facilitated glucose	9.61	2.88	9.61	6.73	1.92	4.81	0	Npas2-723	0	mle	1	25.7548387097	1.3117796179	4.1053550435	5.9266666667	0.1064570729	-0.0921080221	0.5078793099	0.6025864986	0.0420367842	0.6295162492
724	chr3	65467031	65467500	65467385	9	Intergenic	Intergenic	-2885	uc012cqf.1	Lekr1	leucine, glutamate and lysine rich 1 isoform 1	12.5	16.34	19.22	5.77	6.73	0	4.81	Npas2-724	0	burg	1	24.1939393939	7.0466160423	5.9372845944	10.0933333333	0.6752673648	0.603104557	0.6521778136	0.0063367521	0.001441624	0.021588848
725	chr3	79368881	79369180	79369075	9	intron (uc012cqp.1, intron 1 of 16)	PB1D10|SINE|Alu	2571	uc012cqp.1	Fnip2	folliculin-interacting protein 2	3.84	4.81	2.88	9.61	2.88	0.96	3.84	Npas2-725	1	burg	1	23.9041916168	2.2240140523	10.3887137243	4.1633333333	0.3458254382	0.2004533133	0.6485494561	0.1481226369	0.0128101228	0.191836284
726	chr3	100726071	100726290	100726175	9	promoter-TSS (uc008qqz.2)	promoter-TSS (NM_001165953)	-236	uc008qqz.2	Trim45	tripartite motif-containing protein 45 isoform	7.69	8.65	8.65	8.65	4.81	3.84	2.88	Npas2-726	1	default	1	24	2.2357179555	7.2107235163	7.0483333333	0.7460046574	0.689561248	0.2802531809	0.0020975672	0.0007584866	0.0113586152
727	chr3	108113861	108114181	108114015	9	intron (uc008qyr.1, intron 3 of 19)	intron (NM_019972, intron 3 of 19)	26971	uc008qyr.1	Sort1	sortilin precursor	10.57	4.81	8.65	3.84	1.92	1.92	4.81	Npas2-727	0	default	1	24	2.4132400932	4	5.285	0.3298828708	0.1809679532	0.6190077763	0.1650738335	0.013969598	0.2091998502
728	chr3	115538361	115538601	115538475	9	Intergenic	RLTR12B|LTR|ERVK	52557	uc012cwp.1	A930005H10Rik	Mus musculus 16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130088N13 product:unclassifiable, full insert sequence.	1.92	3.84	10.57	1.92	1.92	0.96	3.84	Npas2-728	0	burg	1	22.6818181818	3.4284329303	8.2264448563	3.5216666667	0.5674947223	0.4713824384	0.9276766962	0.0230123702	0.003319401	0.0497092461
729	chr3	121555101	121555530	121555205	9	Intergenic	Intergenic	-37182	uc008reg.1	Abcd3	ATP-binding cassette sub-family D member 3	4.81	5.77	13.46	6.73	0.96	0.96	0.96	Npas2-729	0	burg	1	23.3450292398	5.0124311192	8.069815146	5.4483333333	0.7545345597	0.6999866841	0.7737520288	0.0017986912	0.0007001968	0.0104857032
730	chr3	122015921	122016160	122016030	9	Intergenic	Intergenic	-19419	uc012cwz.1	Mir760	Mus musculus adult retina cDNA, RIKEN full-length enriched library, clone:A930017M02 product:unclassifiable, full insert sequence.	10.57	7.69	9.61	5.77	8.65	1.92	0.96	Npas2-730	0	default	1	24	1.4153607652	6.4078215696	7.3683333333	0.1416493003	-0.0490952997	0.3888715829	0.5029113589	0.0358771303	0.5372731757
731	chr3	129235211	129235460	129235305	9	promoter-TSS (uc008rid.1)	promoter-TSS (NM_130450)	31	uc008rid.1	Elovl6	elongation of very long chain fatty acids	5.77	5.77	3.84	9.61	0.96	2.88	1.92	Npas2-731	0	mle	1	24.6419753086	1.617212504	7.5496119913	4.805	0.1816820972	-0.0001663257	0.565955525	0.4056479044	0.0298153881	0.4464963647
732	chr3	130949541	130949920	130949810	9	intron (uc008rjl.1, intron 3 of 7)	intron (NM_008212, intron 3 of 7)	25225	uc008rjl.1	Hadh	hydroxyacyl-coenzyme A dehydrogenase,	11.53	12.5	11.53	7.69	0	2.88	4.81	Npas2-732	1	mle	1	24.1939393939	5.233078032	4.8889612052	7.6883333333	0.7539182842	0.6992334585	0.6167331797	0.001819102	0.0007046625	0.0105525796
733	chr3	134951361	134951760	134951525	9	intron (uc008rla.2, intron 3 of 9)	intron (NM_027208, intron 3 of 9)	7375	uc008rla.2	Bdh2	3-hydroxybutyrate dehydrogenase type 2 isoform	3.84	6.73	10.57	6.73	5.77	0	2.88	Npas2-733	0	mle	1	24.1939393939	4.0979017879	8.7208004306	5.6066666667	0.841386326	0.8061388429	0.5721451664	0.0002520768	0.000249437	0.0037354111
734	chr3	145289141	145289360	145289250	9	Intergenic	ID_B1|SINE|B4	23699	uc008rqq.2	Cyr61	protein CYR61 precursor	8.65	5.77	8.65	5.77	0	2.88	3.84	Npas2-734	1	default	1	24	2.8060156419	5.1530946502	5.2866666667	0.4878057314	0.3739847829	0.5821560643	0.0492556682	0.0056477783	0.0845775499
735	chr3	151872681	151872900	151872790	9	promoter-TSS (uc008rss.1)	promoter-TSS (NM_057172)	-130	uc008rss.1	AK077587	Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630051B20 product:unclassifiable, full insert sequence.	2.88	8.65	6.73	4.81	2.88	2.88	0.96	Npas2-735	1	yule-walker	1	23.0751445087	2.6294862409	7.0988998339	4.805	0.7231522263	0.6616304988	0.4623010546	0.0030908979	0.0009455764	0.0141603527
736	chr4	10851291	10851680	10851495	9	Intergenic	Intergenic	49840	uc012dam.1	2610301B20Rik	hypothetical protein LOC67157	4.81	2.88	11.53	5.77	3.84	0.96	1.92	Npas2-736	1	burg	1	23.6213017751	3.4456824986	9.120905066	4.965	0.5677567117	0.4717026477	0.6650804262	0.0229497079	0.0033133938	0.0496192861
737	chr4	35352551	35352810	35352695	9	Intergenic	Intergenic	179499	uc008sgy.1	AK045932	Mus musculus adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230324L04 product:unclassifiable, full insert sequence.	6.73	3.84	9.61	3.84	0.96	1.92	0.96	Npas2-737	1	default	1	24	2.5876842321	6.1584094534	4.4833333333	0.4369820498	0.3118669497	0.6512001076	0.075396309	0.0076541533	0.1146237512
738	chr4	40152661	40152891	40152760	9	3' UTR (uc008shf.1, exon 18 of 18)	3' UTR (NM_172689, exon 18 of 18)	34082	uc008shf.1	Ddx58	probable ATP-dependent RNA helicase DDX58	7.69	6.73	10.57	5.77	2.88	1.92	1.92	Npas2-738	0	mle	1	24.6419753086	3.0912109868	6.2012003881	5.9266666667	0.6622870048	0.5872396725	0.4903567748	0.007559011	0.0015919587	0.023840165
739	chr4	40922861	40923071	40922965	9	intron (uc008sie.1, intron 1 of 23)	intron (NM_023739, intron 1 of 23)	4990	uc008sie.1	Nfx1	transcriptional repressor NF-X1	0.96	3.84	9.61	1.92	0.96	0	2.88	Npas2-739	0	burg	1	22.8114285714	3.7182969785	8.221675263	2.8816666667	0.6850732945	0.6150895821	1.1227208978	0.0055200461	0.0013584173	0.0203427966
740	chr4	47306701	47306961	47306875	9	intron (uc008sum.1, intron 28 of 39)	intron (NM_009928, intron 28 of 39)	-59346	uc008sun.1	Tgfbr1	TGF-beta receptor type-1	1.92	4.81	9.61	2.88	2.88	2.88	1.92	Npas2-740	0	burg	1	22.3016759777	2.7299875857	8.4085368566	4.1633333333	0.5658418455	0.4693622556	0.6206208713	0.0234107772	0.0033537208	0.0502231977
741	chr4	49572941	49573150	49573045	9	Intergenic	Intergenic	-10690	uc008svw.1	Aldob	fructose-bisphosphate aldolase B	8.65	4.81	7.69	5.77	2.88	1.92	0.96	Npas2-741	0	default	1	24	1.7221110503	5.9317488508	5.2866666667	0.310064358	0.1567453264	0.4547291225	0.1882082321	0.015568051	0.2331372696
742	chr4	62660481	62660820	62660595	9	intron (uc008tfn.2, intron 1 of 14)	MLT1K|LTR|MaLR	34042	uc008tfn.2	Zfp618	zinc finger protein 618	2.88	5.77	10.57	1.92	1.92	2.88	0.96	Npas2-742	0	burg	1	22.4269662921	3.2865104007	7.3297826048	4.3233333333	0.5682109805	0.472257865	0.7118731828	0.0228413713	0.0033007752	0.0494303185
743	chr4	86336061	86336490	86336305	9	Intergenic	Intergenic	-20312	uc008tlz.1	Plin2	perilipin-2	1.92	10.57	12.5	6.73	2.88	0.96	7.69	Npas2-743	0	mle	1	23.9041916168	5.7104601384	7.7575061728	5.9266666667	0.8791879281	0.852340801	0.7400320342	7.40451294059E-005	0.0001349648	0.0020211472
744	chr4	97578441	97578710	97578555	9	intron (uc008tty.2, intron 2 of 10)	intron (NM_010905, intron 2 of 10)	-133836	uc008ttp.1	E130114P18Rik	SubName: Full=Putative uncharacterized protein;	9.61	1.92	3.84	2.88	4.81	0.96	4.81	Npas2-744	0	mle	1	27.156462585	1.3139098838	24.3680342973	4.0033333333	0.1131691948	-0.0839043175	0.6989421884	0.5824832848	0.0409058714	0.6125804166
745	chr4	101101161	101101331	101101195	9	intron (uc008tvn.2, intron 2 of 5)	intron (NM_009647, intron 1 of 4)	9352	uc008tvn.2	Ak4	adenylate kinase isoenzyme 4, mitochondrial	0.96	0.96	6.73	3.84	1.92	0.96	0	Npas2-745	1	burg	1	23.0751445087	2.4588379748	10.1834209034	2.5616666667	0.6967377049	0.6293460838	0.829892126	0.0046578219	0.0012321261	0.0184515394
746	chr4	104859301	104859610	104859505	9	intron (uc008tye.1, intron 1 of 5)	intron (NM_080555, intron 1 of 5)	29503	uc008tye.1	Ppap2b	lipid phosphate phosphohydrolase 3	9.61	10.57	10.57	4.81	4.81	1.92	1.92	Npas2-746	0	burg	1	25.106918239	3.4508835153	4.5225271222	7.0483333333	0.6822200976	0.6116023415	0.4765285391	0.0057486904	0.0013804993	0.0206734826
747	chr4	104888491	104888790	104888680	9	intron (uc008tye.1, intron 4 of 5)	intron (NM_080555, intron 4 of 5)	58688	uc008tye.1	Ppap2b	lipid phosphate phosphohydrolase 3	7.69	7.69	7.69	9.61	6.73	1.92	0.96	Npas2-747	1	mle	1	25.2658227848	2.3737437976	8.1749484546	6.8883333333	0.5169515742	0.4096074796	0.345808883	0.0378406005	0.0046378239	0.0694531123
748	chr4	104893481	104893760	104893595	9	intron (uc008tye.1, intron 5 of 5)	intron (NM_080555, intron 5 of 5)	63668	uc008tye.1	Ppap2b	lipid phosphate phosphohydrolase 3	3.84	3.84	3.84	9.61	0.96	3.84	0.96	Npas2-748	0	burg	1	22.6818181818	1.6593686274	10.8650993329	4.3216666667	0.2170386336	0.0430472188	0.5989087465	0.3325305109	0.025072405	0.3754684535
749	chr4	117016011	117016320	117016125	9	intron (uc008uip.1, intron 2 of 14)	intron (NM_025739, intron 2 of 14)	91571	uc008uii.1	Tmem53	transmembrane protein 53	3.84	9.61	5.77	0.96	1.92	1.92	1.92	Npas2-749	0	burg	1	23.2093023256	3.2898042154	4.8644234694	4.0033333333	0.6554912511	0.5789337514	0.7390696649	0.008268013	0.0016819689	0.0251881015
750	chr4	117504151	117504380	117504265	9	Intergenic	Intergenic	-3598	uc008uiy.1	Slc6a9	sodium- and chloride-dependent glycine	2.88	6.73	8.65	4.81	0.96	0.96	1.92	Npas2-750	0	mle	1	24.0481927711	3.7038845897	7.2130573897	4.165	0.894430307	0.8709703753	0.6882689122	4.03577237236E-005	0.0001102335	0.0016507877
751	chr4	117670201	117670420	117670310	9	intron (uc008ujk.2, intron 5 of 11)	intron (NM_001161774, intron 5 of 11)	-67942	uc008ujh.1	Artn	artemin precursor	1.92	5.77	5.77	8.65	2.88	0.96	3.84	Npas2-751	0	mle	1	24.0481927711	3.3719547828	9.4110937238	4.325	0.8163827473	0.7755789134	0.6122945432	0.0004870916	0.0003368173	0.0050439622
752	chr4	129419641	129419930	129419815	9	promoter-TSS (uc008uyd.1)	promoter-TSS (NM_011317)	-259	uc008uyd.1	Khdrbs1	KH domain-containing, RNA-binding, signal	9.61	0	1.92	1.92	3.84	0	0	Npas2-752	1	default	1	24	1.6763713874	21.5678779784	2.8816666667	0.1405564838	-0.0504309642	1.1390770042	0.5057990716	0.0360668167	0.5401137983
753	chr4	132833681	132834240	132833790	9	promoter-TSS (uc008vcp.1)	promoter-TSS (NM_025667)	-255	uc008vcp.1	Tmem222	transmembrane protein 222	15.38	4.81	22.11	9.61	6.73	1.92	6.73	Npas2-753	0	mle	1	24.6419753086	4.9735415703	7.4036423758	10.0933333333	0.2821290791	0.1226022078	0.6751331916	0.2250135269	0.0180261118	0.2699476305
754	chr4	133113231	133113521	133113395	9	TTS (uc008vcz.1)	TTS (NM_011850)	4071	uc008vcz.1	Nr0b2	nuclear receptor subfamily 0 group B member 2	11.53	3.84	7.69	4.81	5.77	0	0	Npas2-754	0	default	1	24	1.0314741451	5.0501195638	5.6066666667	0.0497429805	-0.1614252461	0.6290934317	0.7948494697	0.0540617356	0.8095943045
755	chr4	135643211	135643560	135643395	9	Intergenic	RSINE1|SINE|B4	-34099	uc008vhr.1	Rpl11	60S ribosomal protein L11	11.53	5.77	9.61	1.92	2.88	0.96	1.92	Npas2-755	0	default	1	24	3.0513054759	3.6526037102	5.445	0.3634448411	0.2219881391	0.7253786403	0.1309972534	0.0116223323	0.1740486861
756	chr4	138535011	138535151	138535120	9	intron (uc008vlp.2, intron 2 of 16)	intron (NM_029857, intron 2 of 16)	6261	uc008vlp.2	Tmco4	transmembrane and coiled-coil domain-containing	0	0	7.69	4.81	1.92	0	1.92	Npas2-756	1	burg	1	23.0751445087	3.5408540877	10.5753929883	2.4033333333	0.7644477308	0.7121027821	1.2166895289	0.0014941452	0.000615053	0.0092106447
757	chr4	141115211	141115431	141115315	9	Intergenic	Intergenic	13244	uc008vor.2	B330016D10Rik	Mus musculus 7 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:A730084D15 product:unclassifiable, full insert sequence.	1.92	4.81	9.61	5.77	4.81	1.92	1.92	Npas2-757	0	mle	1	24.0481927711	3.3859669121	9.3130129426	4.8066666667	0.8449153071	0.810452042	0.5416199757	0.0002278034	0.0002362845	0.0035384463
758	chr4	141179021	141179240	141179130	9	intron (uc008vox.1, intron 1 of 4)	intron (NM_001013780, intron 1 of 4)	619	uc008vox.1	Slc25a34	solute carrier family 25 member 34	8.65	4.81	5.77	3.84	1.92	0.96	0.96	Npas2-758	0	default	1	24	1.8806526807	4	4.325	0.3541682586	0.2106500939	0.5847117248	0.1398096784	0.0122798005	0.1838945129
759	chr4	141420981	141421300	141421120	9	intron (uc008vpl.1, intron 1 of 3)	MTE2a|LTR|MaLR	9695	uc008vpl.1	Efhd2	EF-hand domain-containing protein D2	3.84	10.57	13.46	2.88	3.84	1.92	1.92	Npas2-759	0	burg	1	23.0751445087	4.9373804173	7.0410830952	6.085	0.676884801	0.6050814235	0.7106736081	0.0061959548	0.0014234934	0.021317335
760	chr4	141627801	141628030	141627915	9	intron (uc008vpr.1, intron 1 of 2)	intron (NM_145402, intron 1 of 2)	-12298	uc008vpt.1	Gm10565	Mus musculus 2 days neonate thymus thymic cells cDNA, RIKEN full-length enriched library, clone:E430026J04 product:hypothetical protein, full insert sequence.	2.88	3.84	8.65	0	0	0	0.96	Npas2-760	1	yule-walker	1	22.4269662921	3.2870339399	7.0009094413	2.5616666667	0.5732515029	0.4784185036	1.2188251095	0.0216657637	0.003167645	0.0474366451
761	chr4	144547071	144547301	144547225	9	Intergenic	Intergenic	-26057	uc008vrp.1	AK147071	Mus musculus 17 days embryo kidney cDNA, RIKEN full-length enriched library, clone:I920096N20 product:unclassifiable, full insert sequence.	5.77	1.92	10.57	7.69	3.84	0.96	3.84	Npas2-761	0	burg	1	22.4269662921	3.2490917686	10.593950434	5.125	0.5227283734	0.4166680119	0.646723311	0.0358463776	0.0044924491	0.0672760711
762	chr4	149171091	149171261	149171160	9	Intergenic	L1MB7|LINE|L1	-22800	uc008vxe.1	Slc25a33	solute carrier family 25 member 33	2.88	2.88	8.65	3.84	0	0.96	0.96	Npas2-762	0	burg	1	23.2093023256	3.0672365009	8.0529109777	3.2016666667	0.6521507272	0.5748508888	0.8608136346	0.0086349524	0.0017276361	0.0258719831
763	chr4	150129501	150129801	150129665	9	Intergenic	Intergenic	-70191	uc008vxv.1	AK033051	Mus musculus adult male eyeball cDNA, RIKEN full-length enriched library, clone:7530416H05 product:unclassifiable, full insert sequence.	10.57	3.84	12.5	6.73	2.88	1.92	1.92	Npas2-763	0	burg	1	25.4267515924	2.8172044248	5.9205956359	6.4066666667	0.2831789666	0.1238854037	0.6168972945	0.2235364403	0.0179351207	0.2685850053
764	chr5	9040691	9041010	9040900	9	Intergenic	Intergenic	-43704	uc008wkt.1	Crot	peroxisomal carnitine O-octanoyltransferase	2.88	5.77	10.57	5.77	2.88	1.92	5.77	Npas2-764	0	burg	1	22.6818181818	3.6734936967	8.8320153925	4.965	0.8405810279	0.8051545896	0.5853521424	0.0002578873	0.000249437	0.0037354111
765	chr5	23122191	23122520	23122325	9	promoter-TSS (uc008wqe.1)	promoter-TSS (NM_009274)	34	uc008wqe.1	Srpk2	serine/threonine-protein kinase SRPK2	1.92	8.65	11.53	4.81	4.81	0	1.92	Npas2-765	0	mle	1	24.1939393939	4.7806382189	7.9653739474	5.2866666667	0.7810377605	0.7323794851	0.7327123283	0.0010756266	0.0004973083	0.0074473733
766	chr5	31190871	31191090	31190980	9	promoter-TSS (uc008wwg.1)	promoter-TSS (NM_174849)	-399	uc008wwg.1	Agbl5	cytosolic carboxypeptidase-like protein 5	4.81	4.81	4.81	2.88	8.65	2.88	2.88	Npas2-766	0	burg	1	22.1777777778	0.7704923699	16.8510777604	4.8066666667	0.0740494642	-0.1317173215	0.4001392972	0.7073674033	0.048593802	0.7277099953
767	chr5	32999661	32999890	32999775	9	Intergenic	MIRc|SINE|MIR	86169	uc008wzu.1	Yes1	proto-oncogene tyrosine-protein kinase Yes	8.65	2.88	5.77	0.96	0.96	1.92	0.96	Npas2-767	1	burg	1	27.9160839161	2.3128748144	26.7046887315	3.5233333333	0.4124039438	0.2818270424	0.7982093616	0.0913807936	0.0088386482	0.1323619961
768	chr5	36910851	36911140	36910995	9	intron (uc008xev.1, intron 3 of 14)	MER20|DNA|MER1_type	17880	uc008xev.1	Tbc1d14	TBC1 domain family member 14 isoform a	3.84	5.77	12.5	6.73	1.92	0	2.88	Npas2-768	0	mle	1	24.0481927711	5.039155371	8.1012613656	5.1266666667	0.8368411668	0.8005836483	0.7784909549	0.0002862514	0.0002608676	0.0039065874
769	chr5	38880531	38880860	38880640	9	Intergenic	intron (NM_145559, intron 1 of 10)	-6071	uc008xgq.1	Slc2a9	solute carrier family 2, member 9 isoform 2	10.57	3.84	2.88	4.81	2.88	1.92	5.77	Npas2-769	1	burg	1	27.9160839161	1.9321533437	25.4950097854	4.4833333333	0.2581562005	0.0933020228	0.6392331402	0.2608591771	0.0204305883	0.3059555475
770	chr5	64238791	64239200	64239035	9	intron (uc008xmg.1, intron 1 of 3)	intron (NM_029554, intron 1 of 3)	35261	uc008xmg.1	0610040J01Rik	hypothetical protein LOC76261	6.73	1.92	12.5	6.73	4.81	3.84	5.77	Npas2-770	0	burg	1	22.3016759777	2.4874583981	10.4750751081	6.0883333333	0.3012642827	0.1459896789	0.5447388183	0.1992545496	0.0162937011	0.244004145
771	chr5	92295261	92295490	92295375	9	Intergenic	Intergenic	47054	uc008ybx.1	AK019798	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930570G05 product:unclassifiable, full insert sequence.	0.96	0.96	8.65	2.88	0	0	1.92	Npas2-771	1	burg	1	22.8114285714	3.2752047828	9.0625790367	2.2416666667	0.6138626449	0.5280543437	1.3482858829	0.0138145957	0.0023545883	0.0352608221
772	chr5	93028111	93028401	93028225	9	Intergenic	Intergenic	-3821	uc008ydp.1	Stbd1	starch-binding domain-containing protein 1	2.88	4.81	11.53	6.73	3.84	1.92	1.92	Npas2-772	1	burg	1	23.0751445087	3.97341317	9.3679080177	5.285	0.8172509044	0.7766399942	0.6008819959	0.0004768135	0.0003326279	0.0049812245
773	chr5	96927151	96927390	96927265	9	intron (uc008yfk.1, intron 2 of 73)	intron (NM_175473, intron 2 of 73)	124296	uc008yfk.1	Fras1	extracellular matrix protein FRAS1 precursor	6.73	0.96	9.61	1.92	2.88	1.92	5.77	Npas2-773	0	burg	1	25.106918239	1.357010099	5.6895524432	4.0033333333	0.1005750983	-0.0992971021	0.7771278895	0.6206433168	0.0432257236	0.647321053
774	chr5	107701211	107701451	107701390	9	intron (uc008ylz.2, intron 1 of 16)	intron (NM_011578, intron 1 of 16)	17283	uc008ylz.2	Tgfbr3	transforming growth factor beta receptor type 3	0.96	1.92	9.61	2.88	0	1.92	1.92	Npas2-774	0	burg	1	22.4269662921	3.2047116729	8.7685045258	2.8816666667	0.5355840425	0.4323804964	1.0892721422	0.0317016672	0.0041068614	0.0615017553
775	chr5	109137421	109137701	109137600	9	Intergenic	Intergenic	14313	uc008ypa.2	Fgfrl1	fibroblast growth factor receptor-like 1 isoform	7.69	5.77	11.53	2.88	0	0.96	2.88	Npas2-775	1	yule-walker	1	23.9041916168	4.0211893929	5.6936169362	4.805	0.5781817309	0.4844443377	0.8327165336	0.0205619469	0.0030698619	0.0459723075
776	chr5	115971591	115971871	115971715	9	intron (uc008zea.1, intron 1 of 11)	intron (NM_133915, intron 1 of 11)	15020	uc008zea.1	Pxn	paxillin isoform beta	9.61	5.77	11.53	3.84	3.84	0.96	3.84	Npas2-776	0	burg	1	25.2658227848	2.9396136877	5.0214738344	5.925	0.3983627483	0.2646655812	0.609953813	0.1016263281	0.0095161324	0.1425075705
777	chr5	120964371	120964680	120964565	9	intron (uc012eco.1, intron 2 of 14)	intron (NM_133221, intron 2 of 15)	3324	uc012eco.1	Slc24a6	sodium/potassium/calcium exchanger 6 isoform 2	3.84	5.77	10.57	2.88	6.73	1.92	1.92	Npas2-777	1	mle	1	24.1939393939	2.4767513035	8.1848037441	5.285	0.3753503019	0.2365392579	0.5432020913	0.1203273645	0.0108254498	0.162115078
778	chr5	122041691	122041911	122041800	9	intron (uc008zjt.1, intron 1 of 12)	intron (NM_009656, intron 1 of 12)	2032	uc008zjt.1	Aldh2	aldehyde dehydrogenase, mitochondrial precursor	4.81	5.77	10.57	2.88	1.92	1.92	1.92	Npas2-778	1	mle	1	23.2093023256	3.2757324765	6.891476819	4.645	0.6302297227	0.5480585499	0.6480345381	0.0113682599	0.0020659089	0.0309377431
779	chr5	122822351	122822570	122822460	9	promoter-TSS (uc008zld.1)	promoter-TSS (NM_026883)	-57	uc008zle.1	Gpn3	GPN-loop GTPase 3	3.84	8.65	7.69	3.84	7.69	2.88	2.88	Npas2-779	0	burg	1	25.2658227848	1.7238342951	7.181786931	5.765	0.2784773677	0.118139005	0.3972520887	0.2302103327	0.0183863783	0.2753427536
780	chr5	125965301	125965741	125965490	9	intron (uc008zrs.1, intron 3 of 17)	intron (NM_030210, intron 3 of 17)	9278	uc008zrs.1	Aacs	acetoacetyl-CoA synthetase	0.96	4.81	17.3	6.73	3.84	0.96	1.92	Npas2-780	1	burg	1	23.0751445087	6.5659057652	9.2938021398	5.7666666667	0.725940386	0.6650382496	0.962339561	0.0029532668	0.0009256637	0.0138621531
781	chr5	130417051	130417281	130417165	9	promoter-TSS (uc008ztr.1)	promoter-TSS (NM_001001327)	-817	uc008ztr.1	Vkorc1l1	vitamin K epoxide reductase complex subunit	3.84	4.81	8.65	3.84	0	0	0.96	Npas2-781	0	burg	1	23.7619047619	3.5439509027	7.1204758363	3.5233333333	0.7880332314	0.7409295051	0.8432792554	0.000929405	0.0004536501	0.0067935765
782	chr5	130450651	130450910	130450805	9	intron (uc008ztr.1, intron 1 of 2)	intron (NM_001001327, intron 1 of 1)	27918	uc008ztt.1	Gusb	beta-glucuronidase precursor	1.92	7.69	9.61	4.81	2.88	0.96	3.84	Npas2-782	0	mle	1	24.0481927711	4.007469637	7.7280767013	4.645	0.8587462592	0.827356539	0.6697560204	0.0001496235	0.0001902829	0.002849556
783	chr5	135662821	135663210	135662930	9	promoter-TSS (uc008zxz.2)	promoter-TSS (NM_011714)	-178	uc008zxz.2	Baz1b	tyrosine-protein kinase BAZ1B	2.88	4.81	9.61	1.92	2.88	1.92	0	Npas2-783	0	burg	1	22.9425287356	2.7146887414	7.5937011353	4.0033333333	0.5228319009	0.4167945455	0.6709576013	0.0358114006	0.0044917046	0.0672649223
784	chr5	138227931	138228121	138228045	9	promoter-TSS (uc009ady.1)	promoter-TSS (NM_144913)	-97	uc009ady.1	Mepce	7SK snRNA methylphosphate capping enzyme	9.61	4.81	7.69	4.81	9.61	4.81	0	Npas2-784	0	burg	1	23.7619047619	0.765095487	19.110501734	6.89	0.0630328895	-0.1451820239	0.3158541773	0.7460356125	0.0510278367	0.7641605558
785	chr5	138362721	138363080	138362885	9	promoter-TSS (uc009aef.2)	promoter-TSS (NM_007819)	-53	uc009aef.2	Cyp3a13	cytochrome P450 3A13	3.84	2.88	12.5	4.81	1.92	2.88	5.77	Npas2-785	0	burg	1	22.5536723164	3.4404707716	8.8850833204	4.805	0.4868679656	0.3728386246	0.740101129	0.0496627857	0.0056696458	0.0849050232
786	chr5	140589321	140589620	140589435	9	intron (uc009ahj.1, intron 14 of 17)	B4A|SINE|B4	-93869	uc009ahl.1	BC046508	Mus musculus, clone IMAGE:3965211, mRNA.	5.77	0.96	10.57	2.88	5.77	0	0.96	Npas2-786	1	default	1	24	2.2415638033	9.4342895536	4.325	0.2048528353	0.0281534654	0.8190594391	0.3564624733	0.0266474566	0.3990554288
