ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Per1_CT0/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per1_CT4/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per1_CT8/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per1_CT12/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per1_CT16/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per1_CT20/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per1_KO/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per_Input/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
758	chr9	21741261	21741570	21741355	13	Intergenic	Intergenic	-1303	uc009onb.1	BC018242	lipid phosphate phosphatase-related protein type	2.02	1.01	3.02	19.15	17.13	8.06	0	3.02	758-Per1_n3R16	0	burg	1	23.2093023256	8.7182176363	14.7193909704	8.3983333333	0.7785092734	0.729289112	0.8643291369	0.001132661	0.0052687873	0.0492282477
759	chr3	37318671	37319041	37318850	14	promoter-TSS (uc008pav.2)	promoter-TSS (NM_153561)	-344	uc008par.1	Nudt6	nucleoside diphosphate-linked moiety X motif 6	4.03	0	1.01	15.12	10.08	20.15	1.01	8.06	759-Per1_n3R16	1	burg	1	25.7548387097	6.9546211271	17.0540635768	8.3983333333	0.5553766137	0.4565714167	0.8834737067	0.0260594568	0.0109055542	0.101894666
760	chr10	126727531	126727781	126727655	14	promoter-TSS (uc007hiy.2)	promoter-TSS (NM_007837)	-193	uc007hiy.2	Ddit3	DNA damage-inducible transcript 3 protein	6.05	2.02	2.02	13.1	11.08	16.12	1.01	4.03	760-Per1_n3R16	0	mle	1	24.6419753086	5.6244033751	17.3302551247	8.3983333333	0.6541652763	0.5773131155	0.6445302061	0.0084121825	0.0069448697	0.0648885116
761	chr7	71062661	71062940	71062770	14	intron (uc009hfn.2, intron 1 of 1)	intron (NM_021366, intron 1 of 1)	21001	uc009hfn.2	Klf13	Krueppel-like factor 13	6.05	5.04	3.02	17.13	9.07	10.08	2.02	13.1	761-Per1_n3R16	0	burg	1	23.7619047619	3.9394886763	14.9289898268	8.3983333333	0.3915395609	0.25632613	0.544006365	0.1069167033	0.0202784625	0.1894692494
762	chr1	13566571	13567000	13566715	13	intron (uc007ait.1, intron 5 of 10)	intron (NM_028173, intron 5 of 10)	13160	uc007ait.1	Tram1	translocating chain-associated membrane protein	1.01	2.02	1.01	20.15	16.12	10.08	3.02	12.09	762-Per1_n3R16	0	burg	1	23.7619047619	8.4932249952	14.7488309835	8.3983333333	0.6904147899	0.6216180765	0.9099566008	0.0051110593	0.0060695847	0.0567103964
763	chr15	39956061	39956430	39956295	13	Intergenic	Intergenic	-37908	uc007vop.1	BC048765	Mus musculus, clone IMAGE:6772812, mRNA.	1.01	4.03	6.05	18.14	9.07	12.09	3.02	17.13	763-Per1_n3R16	0	mle	1	24.490797546	5.4202651013	13.4010489574	8.3983333333	0.5401157741	0.4379192795	0.6668062032	0.0303332057	0.0116378555	0.1087368307
764	chr1	36123151	36123500	36123285	12	Intergenic	Intergenic	-1920	uc007apn.2	Hs6st1	heparan-sulfate 6-O-sulfotransferase 1	6.05	7.05	2.02	13.1	4.03	18.14	3.02	21.16	764-Per1_n3R16	0	burg	1	27.156462585	3.5631885629	18.9511570981	8.3983333333	0.2157418914	0.0414623117	0.6595728059	0.3350160235	0.0411435154	0.3844192313
765	chr4	133108911	133109211	133109090	11	promoter-TSS (uc008vcz.1)	promoter-TSS (NM_011850)	-244	uc008vcz.1	Nr0b2	nuclear receptor subfamily 0 group B member 2	6.05	4.03	2.02	10.08	11.08	17.13	3.02	10.08	765-Per1_n3R16	0	burg	1	24.6419753086	5.4223557866	18.3619969641	8.3983333333	0.7029860843	0.6369829919	0.598407508	0.0042412668	0.0058134877	0.0543175872
766	chr16	38279751	38280061	38279915	14	intron (uc007zeq.1, intron 1 of 8)	MTD|LTR|MaLR	15004	uc007zeq.1	Nr1i2	nuclear receptor subfamily 1 group I member 2	5.04	3.02	2.02	21.16	9.07	10.08	4.03	20.15	766-Per1_n3R16	0	burg	1	23.4823529412	5.7996432615	14.5911114265	8.3983333333	0.424679957	0.2968310586	0.7640182418	0.0830984205	0.0176850485	0.1652380131
767	chr7	28376271	28376690	28376495	9	Intergenic	promoter-TSS (NM_001110208)	-14399	uc009fws.2	Akt2	RAC-beta serine/threonine-protein kinase	2.02	6.05	3.02	15.12	12.09	12.09	3.02	11.08	767-Per1_n3R16	1	yule-walker	1	24.490797546	4.6905403319	14.8837273565	8.3983333333	0.5397724205	0.437499625	0.5904979056	0.0304352506	0.0116590422	0.1089347856
768	chr15	59380491	59380880	59380715	16	intron (uc007vxv.2, intron 4 of 6)	intron (NM_026746, intron 4 of 6)	-99524	uc007vxx.1	Trib1	tribbles homolog 1	4.03	5.04	2.02	19.15	8.06	12.09	4.03	17.13	768-Per1_n3R16	1	yule-walker	1	23.3450292398	4.5913918491	14.963221534	8.3983333333	0.3330060032	0.184785115	0.6881196529	0.1616399335	0.0252122559	0.2355675233
769	chr9	44295641	44295881	44295765	19	Intergenic	Intergenic	8900	uc009pdt.1	AK078316	Mus musculus adult male corpus striatum cDNA, RIKEN full-length enriched library, clone:C030014I23 product:hypothetical protein, full insert sequence.	4.03	4.03	1.01	22.17	10.08	9.07	5.04	5.04	769-Per1_n3R16	0	burg	1	23.4823529412	6.3336089129	14.3631018797	8.3983333333	0.4370000677	0.3118889716	0.8216348461	0.0753854518	0.0169489639	0.1583604998
770	chr8	32260211	32260680	32260385	11	promoter-TSS (uc009ljg.2)	promoter-TSS (NM_144927)	-343	uc009ljg.2	BC019943	hypothetical protein LOC234138 isoform b	6.05	5.04	5.04	15.12	8.06	11.08	4.03	33.25	770-Per1_n3R16	1	yule-walker	1	23.6213017751	3.0694705654	14.9999110116	8.3983333333	0.3773909106	0.2390333351	0.4363006191	0.1185685626	0.0212066138	0.1981413134
771	chr4	135357551	135357980	135357735	10	intron (uc008vgy.1, intron 28 of 36)	intron (NM_001085509, intron 28 of 36)	42135	uc008vgy.1	Myom3	myomesin-3	7.05	1.01	2.02	18.14	14.11	8.06	6.05	14.11	771-Per1_n3R16	0	burg	1	22.6818181818	7.0379555604	15.5943248623	8.3983333333	0.6609539641	0.5856104006	0.7287158259	0.0076942097	0.0067341238	0.0629194338
772	chr12	100657021	100657270	100657170	14	intron (uc007ort.1, intron 1 of 5)	intron (NM_183186, intron 1 of 5)	31139	uc007ort.1	Foxn3	forkhead box protein N3	5.04	3.02	6.05	10.08	15.12	11.08	3.02	7.05	772-Per1_n3R16	1	burg	1	23.7619047619	4.7586775825	16.0600609954	8.3983333333	0.8035662721	0.7599143325	0.4883365227	0.0006598911	0.0052687873	0.0492282477
773	chr13	41979371	41979620	41979485	17	intron (uc007qfj.1, intron 2 of 6)	L2a|LINE|L2	18211	uc007qfj.1	Gm10790	Mus musculus adult male epididymis cDNA, RIKEN full-length enriched library, clone:9230111O20 product:unclassifiable, full insert sequence.	3.02	4.03	4.03	18.14	5.04	16.12	1.01	9.07	773-Per1_n3R16	0	burg	1	27.156462585	3.8309200573	14.4677484482	8.3966666667	0.2310136678	0.0601278162	0.7419871147	0.3066435215	0.038558386	0.3602654017
774	chr14	46008541	46008910	46008725	17	promoter-TSS (uc007tgp.1)	promoter-TSS (NM_019425)	-254	uc007tgp.1	Gnpnat1	glucosamine 6-phosphate N-acetyltransferase	3.02	2.02	1.01	8.06	12.09	24.18	0	5.04	774-Per1_n3R16	1	mle	1	26.6133333333	8.2272283587	18.3093854005	8.3966666667	0.6484302572	0.5703036477	0.956474659	0.0090584045	0.0071040716	0.066375994
775	chr18	35658411	35658750	35658580	11	promoter-TSS (uc008emc.2)	promoter-TSS (NM_030749)	-1	uc008emc.2	Sil1	nucleotide exchange factor SIL1 precursor	4.03	3.02	4.03	15.12	11.08	13.1	0	4.03	775-Per1_n3R16	0	mle	1	24.3414634146	4.910310642	15.4576522051	8.3966666667	0.6187157562	0.5339859242	0.5784974407	0.0130502811	0.0082895918	0.0774527523
776	chr18	60765691	60766081	60765930	11	intron (uc008faq.2, intron 1 of 2)	L2b|LINE|L2	-14516	uc012bdl.1	Myoz3	myozenin-3	4.03	5.04	3.02	17.13	11.08	10.08	0	11.08	776-Per1_n3R16	0	burg	1	23.9041916168	4.8411098607	14.6252475557	8.3966666667	0.5311388927	0.4269475355	0.5865720684	0.0330901656	0.0119558801	0.1117082528
777	chr15	98748431	98748890	98748655	10	promoter-TSS (uc007xoi.1)	promoter-TSS (NM_029098)	-131	uc007xoi.1	Lmbr1l	protein LMBR1L	4.03	5.04	0	18.14	12.09	11.08	0	8.06	777-Per1_n3R16	0	burg	1	24.0481927711	5.5631808065	15.38281965	8.3966666667	0.471947111	0.3546020245	0.7155817449	0.0564999942	0.0148991692	0.1392085025
778	chr16	30988351	30988661	30988525	17	intron (uc007yxa.2, intron 3 of 3)	ORR1D2|LTR|MaLR	93012	uc007yxa.2	AI480653	hypothetical protein LOC268880	2.02	7.05	2.02	21.16	7.05	11.08	1.01	7.05	778-Per1_n3R16	0	burg	1	23.7619047619	4.7951988957	13.604793879	8.3966666667	0.2858353102	0.1271320458	0.7764854183	0.2198328962	0.0303933321	0.2839762538
779	chr19	12869091	12869470	12869215	12	intron (uc008gup.2, intron 1 of 10)	CpG	1333	uc008gup.2	Zfp91	E3 ubiquitin-protein ligase ZFP91	4.03	3.02	0	19.15	11.08	13.1	1.01	7.05	779-Per1_n3R16	1	yule-walker	1	22.6818181818	6.3920812552	15.9895739496	8.3966666667	0.4877901401	0.3739657268	0.7891419555	0.0492624157	0.0140749759	0.1315077568
780	chr16	92609841	92610041	92609925	15	intron (uc007zzj.2, intron 7 of 7)	intron (NM_001111022, intron 6 of 6)	111549	uc007zzg.1	Clic6	chloride intracellular channel protein 6	5.04	4.03	3.02	18.14	9.07	11.08	1.01	8.06	780-Per1_n3R16	1	yule-walker	1	22.4269662921	4.7748552408	15.291090149	8.3966666667	0.4317723319	0.3054995167	0.6185098514	0.0785869972	0.017207739	0.1607783321
781	chr13	112774221	112774550	112774430	13	Intergenic	Intergenic	116241	uc007rwb.1	AK134426	Mus musculus 13 days embryo male testis cDNA, RIKEN full-length enriched library, clone:6030482L16 product:unclassifiable, full insert sequence.	4.03	4.03	0	12.09	13.1	17.13	1.01	14.11	781-Per1_n3R16	1	default	1	24	6.3234615629	17.6306696213	8.3966666667	0.6581344832	0.5821643684	0.7222570658	0.0079863591	0.0068393392	0.0639025009
782	chr10	76863811	76864130	76863995	15	intron (uc007fvp.2, intron 1 of 10)	intron (NR_021486, intron 1 of 10)	17048	uc007fvp.2	Adarb1	double-stranded RNA-specific editase 1 isoform	6.05	3.02	3.02	19.15	8.06	11.08	2.02	11.08	782-Per1_n3R16	1	yule-walker	1	21.9340659341	4.8949639367	15.428618729	8.3966666667	0.3816114236	0.24419174	0.6635764122	0.1149943656	0.0209539678	0.1957807477
783	chr2	65075751	65076000	65075860	13	promoter-TSS (uc008jwi.1)	intron (NM_177025, intron 1 of 13)	808	uc008jwa.2	Cobll1	cordon-bleu protein-like 1 isoform 1	9.07	2.02	3.02	17.13	8.06	11.08	3.02	4.03	783-Per1_n3R16	0	burg	1	23.3450292398	4.2824390206	16.1203031665	8.3966666667	0.3611606499	0.2191963499	0.6025944581	0.1331258723	0.0225806146	0.2109791157
784	chr14	70753231	70753680	70753365	13	Intergenic	Intergenic	-5215	uc007uns.1	Slc39a14	zinc transporter ZIP14 isoform a	6.05	3.02	5.04	20.15	5.04	11.08	4.03	20.15	784-Per1_n3R16	0	burg	1	23.4823529412	4.1775778118	13.9032413726	8.3966666667	0.2661128942	0.1030268707	0.6915214743	0.2485030126	0.0330012001	0.308342538
785	chr15	7087631	7088040	7087825	9	Intergenic	intron (NM_001113386, intron 2 of 16)	-2707	uc007vdy.2	Lifr	leukemia inhibitory factor receptor isoform 1	3.02	8.06	0	18.14	10.08	11.08	6.05	18.14	785-Per1_n3R16	1	mle	1	24.0481927711	4.2932831886	14.9330819463	8.3966666667	0.2917201809	0.1343246656	0.695273981	0.2117980243	0.0296029795	0.2765916944
786	chr13	23822421	23822770	23822630	10	Intergenic	Intergenic	-8081	uc007puq.2	Hist1h1c	histone H1.2	11.08	4.03	1.01	12.09	11.08	11.08	4.03	18.14	786-Per1_n3R16	1	yule-walker	1	22.3016759777	4.809230917	18.3091455569	8.395	0.6333381336	0.5518577188	0.5074135659	0.0109444981	0.0078309771	0.073167744
787	chr2	34760601	34760980	34760870	7	intron (uc008jjh.1, intron 6 of 14)	intron (NM_028716, intron 6 of 14)	8706	uc008jjh.1	Phf19	PHD finger protein 19	6.05	2.02	2.02	14.11	10.08	15.12	2.02	4.03	787-Per1_n3R16	1	default	1	24	5.2763532124	17.0670903936	8.2333333333	0.5797707417	0.4863864621	0.6414472227	0.020215677	0.0099578706	0.093040104
788	chr8	47085101	47085330	47085215	19	promoter-TSS (uc009lpr.1)	promoter-TSS (NM_001039562)	-11	uc009lpr.1	Ankrd37	ankyrin repeat domain-containing protein 37	5.04	2.02	2.02	19.15	9.07	12.09	0	1.01	788-Per1_n3R16	1	yule-walker	1	22.4269662921	5.7131495112	15.6321308121	8.2316666667	0.4502509953	0.3280845498	0.739206043	0.0677235995	0.0161034181	0.1504602502
789	chr4	154440601	154440801	154440710	18	promoter-TSS (uc008wcs.1)	promoter-TSS (NM_001042407)	-438	uc008wcs.1	Pex10	peroxisome biogenesis factor 10	1.01	2.02	2.02	19.15	16.12	9.07	1.01	5.04	789-Per1_n3R16	0	burg	1	23.6213017751	8.2545737979	14.6172699458	8.2316666667	0.728781501	0.6685107234	0.8752622849	0.0028179734	0.0055952894	0.0522788785
790	chr2	158185451	158185781	158185670	12	exon (uc012cie.1, exon 3 of 5)	intron (NR_015463, intron 3 of 5)	1642	uc012cie.1	9430008C03Rik	Mus musculus 10 day old male pancreas cDNA, RIKEN full-length enriched library, clone:1810073H09 product:unclassifiable, full insert sequence.	4.03	2.02	2.02	22.17	9.07	10.08	2.02	7.05	790-Per1_n3R16	1	yule-walker	1	21.9340659341	6.6822842323	14.9809738937	8.2316666667	0.4589929633	0.3387691774	0.8492456037	0.063010527	0.015636314	0.1460959216
791	chr10	40219681	40219980	40219850	17	Intergenic	Intergenic	-70338	uc007ewz.1	Slc22a16	solute carrier family 22 member 16	4.03	6.05	1.01	21.16	9.07	8.06	1.01	8.06	791-Per1_n3R16	1	mle	1	21.9340659341	5.4429658886	14.6739743378	8.23	0.3626736328	0.2210455512	0.7723725958	0.1317129535	0.0224085385	0.2093713449
792	chr1	153111931	153112270	153112075	9	Intergenic	Intergenic	-79528	uc007cyn.1	Ivns1abp	influenza virus NS1A-binding protein homolog	2.02	11.08	3.02	14.11	10.08	9.07	1.01	24.18	792-Per1_n3R16	0	burg	1	25.9220779221	2.7750720006	12.4972038133	8.23	0.2186312839	0.0449937914	0.5262169995	0.3294974718	0.0406151664	0.3794826696
793	chr1	135134231	135134610	135134425	12	Intergenic	Intergenic	-8254	uc007cpu.2	Plekha6	pleckstrin homology domain-containing family A	5.04	3.02	4.03	22.17	10.08	5.04	2.02	6.05	793-Per1_n3R16	0	burg	1	22.4269662921	6.9880833874	13.9089748163	8.23	0.5596639799	0.461811531	0.804276344	0.0249476106	0.0106826398	0.0998118937
794	chr2	132424971	132425360	132425065	18	intron (uc012ces.1, intron 1 of 3)	intron (NR_033469, intron 1 of 3)	1233	uc012ces.1	AU019990	Mus musculus in vitro fertilized eggs cDNA, RIKEN full-length enriched library, clone:7420435F01 product:unclassifiable, full insert sequence.	2.02	3.02	4.03	19.15	12.09	9.07	2.02	7.05	794-Per1_n3R16	1	mle	1	23.0751445087	6.7419467325	14.2851790353	8.23	0.6757258027	0.6036648699	0.7327430598	0.0062965951	0.0063092643	0.0589498131
795	chr4	140872741	140873150	140872915	13	exon (uc008voc.1, exon 5 of 17)	exon (NM_010139, exon 5 of 17)	15790	uc008voc.1	Epha2	ephrin type-A receptor 2 precursor	5.04	6.05	1.01	18.14	11.08	8.06	2.02	4.03	795-Per1_n3R16	0	burg	1	23.3450292398	4.8600689695	14.8290748372	8.23	0.4173203158	0.2878359415	0.6532352659	0.087990228	0.0182516272	0.1705317694
796	chr4	62890981	62891381	62891185	9	intron (uc008tfs.1, intron 3 of 60)	MIRb|SINE|MIR	14735	uc008tfs.1	Col27a1	collagen alpha-1(XXVII) chain precursor	5.04	9.07	1.01	16.12	9.07	9.07	2.02	17.13	796-Per1_n3R16	1	yule-walker	1	22.5536723164	2.9651559225	15.3779849507	8.23	0.2031765816	0.0261047108	0.5582995185	0.3598565419	0.0434129258	0.4056231806
797	chr13	37597771	37598220	37598050	11	Intergenic	Intergenic	-35231	uc007qcu.1	AK155516	Mus musculus NOD-derived CD11c +ve dendritic cells cDNA, RIKEN full-length enriched library, clone:F630310D14 product:unclassifiable, full insert sequence.	2.02	8.06	1.01	20.15	9.07	9.07	4.03	5.04	797-Per1_n3R16	0	burg	1	23.7619047619	4.8799970647	13.6657099957	8.23	0.3196365975	0.1684447303	0.759163992	0.1767397554	0.0265269434	0.2478511398
798	chr14	56343231	56343681	56343490	10	Intergenic	Intergenic	-2443	uc007uai.1	Rabggta	geranylgeranyl transferase type-2 subunit alpha	4.03	1.01	2.02	22.17	13.1	7.05	5.04	25.19	798-Per1_n3R16	0	burg	1	22.9425287356	8.1996058998	14.5592895689	8.23	0.6304899138	0.5483765613	0.8980615292	0.0113323072	0.0078929916	0.0737471683
799	chr7	86404061	86404540	86404255	11	Intergenic	Intergenic	-13852	uc009hyc.1	Abhd2	abhydrolase domain-containing protein 2	10.08	8.06	2.02	16.12	5.04	8.06	5.04	24.18	799-Per1_n3R16	0	yule-walker	1	20.5773195876	1.5960994632	16.531531877	8.23	0.061751149	-0.1467485957	0.530732048	0.7506391053	0.0813001902	0.7596180419
800	chr13	56793451	56793810	56793600	10	Intergenic	Intergenic	-10741	uc007qsz.2	Smad5	mothers against decapentaplegic homolog 5	13.1	6.05	3.02	6.05	9.07	12.09	0	13.1	800-Per1_n3R16	0	mle	1	24.0481927711	4.8216444764	21.0053005086	8.23	0.9181984843	0.9000203697	0.4323629398	1.28063709798E-005	0.0035164588	0.0328555884
801	chr1	91412391	91412820	91412565	21	intron (uc007byw.1, intron 1 of 17)	intron (NM_178119, intron 1 of 17)	61219	uc007byw.1	Agap1	arf-GAP with GTPase, ANK repeat and PH	4.03	1.01	2.02	26.2	5.04	11.08	1.01	11.08	801-Per1_n3R16	0	burg	1	23.3450292398	6.8636184023	13.9897694801	8.23	0.3230646584	0.1726345825	1.0517548095	0.1727676189	0.0262028143	0.244822681
802	chr4	154602611	154602860	154602745	17	Intergenic	RSINE1|SINE|B4	-6091	uc008wcz.1	Ski	ski oncogene	3.02	3.02	2.02	18.14	6.05	17.13	1.01	3.02	802-Per1_n3R16	0	burg	1	26.7919463087	4.6436884168	15.4624325351	8.23	0.2927607276	0.1355964448	0.8226382317	0.2104014164	0.0295071544	0.2756963646
803	chr3	104833921	104834310	104834145	13	intron (uc012cvn.1, intron 3 of 5)	MIRm|SINE|MIR	21756	uc012cvn.1	Cttnbp2nl	CTTNBP2 N-terminal-like protein	3.02	2.02	4.03	18.14	10.08	12.09	1.01	13.1	803-Per1_n3R16	1	yule-walker	1	23.3450292398	5.8346652408	14.8420181117	8.23	0.5676802898	0.4716092431	0.7013058664	0.0229679727	0.0103822668	0.0970053961
804	chr9	75257921	75258330	75258030	14	promoter-TSS (uc009qsd.1)	promoter-TSS (NM_027418)	134	uc009qsg.1	AK017040	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4921522K19 product:unclassifiable, full insert sequence.	5.04	4.03	2.02	7.05	14.11	17.13	1.01	1.01	804-Per1_n3R16	1	burg	1	24.7950310559	6.183422082	18.4338767959	8.23	0.7733725125	0.7230108486	0.6683916851	0.00125576	0.0052687873	0.0492282477
805	chr7	133942641	133943060	133942820	11	promoter-TSS (uc009jst.2)	promoter-TSS (NM_001177307)	-82	uc009jst.2	Aldoa	fructose-bisphosphate aldolase A isoform 1	3.02	2.02	4.03	17.13	9.07	14.11	1.01	2.02	805-Per1_n3R16	1	yule-walker	1	24.6419753086	5.1890552167	14.9686807552	8.23	0.4894779209	0.37602857	0.6977174994	0.0485361564	0.0139314155	0.1301664183
806	chr6	54709931	54710270	54710155	12	Intergenic	Intergenic	-56810	uc009cae.2	Znrf2	E3 ubiquitin-protein ligase ZNRF2	3.02	4.03	3.02	14.11	15.12	10.08	1.01	11.08	806-Per1_n3R16	1	default	1	24	5.7269470116	15.2186317757	8.23	0.7277140379	0.6672060463	0.6223333011	0.0028682277	0.0055952894	0.0522788785
807	chr10	59414551	59414920	59414710	10	promoter-TSS (uc007fee.1)	promoter-TSS (NM_029083)	-217	uc007fee.1	Ddit4	DNA damage-inducible transcript 4 protein	10.08	5.04	3.02	11.08	15.12	5.04	1.01	3.02	807-Per1_n3R16	0	burg	1	21.6956521739	4.4218799098	16.8726997862	8.23	0.5055099174	0.3956232323	0.5119489582	0.0420444946	0.0130732813	0.1221485499
808	chr15	79218691	79219070	79218830	17	intron (uc007wti.1, intron 1 of 8)	intron (NM_172608, intron 1 of 8)	-13150	uc011zwa.1	Mir1943	Mus musculus microRNA 1943 (Mir1943), microRNA.	4.03	6.05	4.03	21.16	9.07	5.04	2.02	10.08	808-Per1_n3R16	0	burg	1	22.6818181818	5.9648182137	13.2612674782	8.23	0.4993582326	0.3881045065	0.7325737905	0.0444500092	0.0134546695	0.1257120028
809	chr17	86734371	86734760	86734560	13	intron (uc008dug.2, intron 1 of 14)	intron (NM_011104, intron 1 of 14)	167440	uc008dug.2	Prkce	protein kinase C epsilon type	3.02	4.03	2.02	19.15	9.07	12.09	2.02	14.11	809-Per1_n3R16	1	yule-walker	1	23.3450292398	5.3389295255	14.9292709864	8.23	0.4225187711	0.2941896091	0.7327430598	0.0845123979	0.017863826	0.1669083986
810	chr2	26314401	26314740	26314520	9	3' UTR (uc008ivl.2, exon 34 of 34)	3' UTR (NM_008714, exon 34 of 34)	13105	uc008ivk.1	AK075572	Mus musculus adult male kidney cDNA, RIKEN full-length enriched library, clone:0610009E02 product:unclassifiable, full insert sequence.	8.06	3.02	4.03	15.12	10.08	9.07	2.02	19.15	810-Per1_n3R16	0	burg	1	22.9425287356	4.1525801073	15.7297680454	8.23	0.5373001727	0.4344779888	0.4870715784	0.0311779114	0.0117758206	0.1100258899
811	chr4	99601811	99602230	99601925	12	promoter-TSS (uc008tva.2)	promoter-TSS (NM_028132)	-36	uc008tva.2	Pgm2	phosphoglucomutase-1	6.05	5.04	2.02	14.11	11.08	11.08	2.02	12.09	811-Per1_n3R16	0	burg	1	24.0481927711	4.0937972069	16.2585566764	8.23	0.5384652093	0.4359019225	0.5066309016	0.0308262004	0.0117323237	0.109619482
812	chr7	28259541	28260050	28259705	12	intron (uc009fwg.1, intron 1 of 1)	intron (NM_133210, intron 1 of 1)	936	uc009fwg.1	Sertad3	SERTA domain-containing protein 3	5.04	3.02	4.03	17.13	6.05	14.11	3.02	15.12	812-Per1_n3R16	0	mle	1	24.95	3.7284256457	15.2084482487	8.23	0.276236548	0.1154002253	0.6533870527	0.2334451842	0.0316342046	0.2955701883
813	chr4	124495041	124495470	124495185	12	intron (uc008urb.2, intron 2 of 10)	intron (NM_008636, intron 2 of 10)	15462	uc008urb.2	Mtf1	metal regulatory transcription factor 1	4.03	6.05	0	15.12	13.1	11.08	3.02	13.1	813-Per1_n3R16	1	yule-walker	1	22.4269662921	5.2339276914	16.4262746116	8.23	0.5035487286	0.3932262238	0.6456964667	0.0428001038	0.013189636	0.123235695
814	chr2	129038371	129038710	129038525	17	Intergenic	Tigger6a|DNA|MER2_type	-6165	uc008mhn.1	AK042900	Mus musculus 7 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:A730036I17 product:hypothetical protein, full insert sequence.	3.02	5.04	3.02	22.17	10.08	6.05	6.05	15.12	814-Per1_n3R16	0	burg	1	22.9425287356	6.7287743494	13.5751641268	8.23	0.5219835312	0.4157576492	0.8104942049	0.0360988085	0.0122463344	0.1144220767
815	chr1	90180761	90181100	90180985	11	Intergenic	Intergenic	-6776	uc007bym.2	Hjurp	Holliday junction recognition protein	8.06	8.06	5.04	14.11	9.07	5.04	5.04	38.29	815-Per1_n3R16	1	yule-walker	1	21.6956521739	2.4272207501	14.113067267	8.23	0.3110977288	0.1580083352	0.3701801683	0.1869430287	0.0274381457	0.2563648431
816	chr4	140255541	140255820	140255705	16	Intergenic	Intergenic	-1708	uc008vna.2	Rcc2	protein RCC2	4.03	2.02	3.02	18.14	11.08	11.08	0	3.02	816-Per1_n3R16	1	burg	1	22.3016759777	6.1048686985	15.4115305888	8.2283333333	0.5918331649	0.5011294238	0.6977937102	0.0177324895	0.0093219468	0.0870984306
817	chr18	47594581	47594950	47594790	13	Intergenic	ERVL-int|LTR|ERVL	-17557	uc008ewe.1	9130209A04Rik	Mus musculus adult male cecum cDNA, RIKEN full-length enriched library, clone:9130209A04 product:unclassifiable, full insert sequence.	5.04	4.03	3.02	7.05	12.09	18.14	0	18.14	817-Per1_n3R16	1	burg	1	24.7950310559	5.7468025058	18.6939676296	8.2283333333	0.7161609036	0.6530855488	0.6458720071	0.0034579999	0.0056650018	0.0529302275
818	chr8	73085811	73086121	73085965	18	intron (uc009mau.1, intron 1 of 11)	intron (NM_007924, intron 1 of 11)	22392	uc009mau.1	Ell	RNA polymerase II elongation factor ELL	1.01	7.05	3.02	25.19	8.06	5.04	1.01	6.05	818-Per1_n3R16	0	burg	1	22.9425287356	7.5643324623	12.7503064848	8.2283333333	0.4692093709	0.3512558978	0.9652771547	0.057830189	0.0150545918	0.1406606739
819	chr9	48608741	48609100	48608960	18	intron (uc009pil.1, intron 2 of 6)	intron (NM_001033324, intron 2 of 6)	35130	uc009pil.1	Zbtb16	zinc finger and BTB domain-containing protein	2.02	3.02	1.01	24.18	8.06	11.08	1.01	17.13	819-Per1_n3R16	1	yule-walker	1	23.0751445087	6.9844683959	14.3333974682	8.2283333333	0.4012661356	0.2682141657	0.9676700945	0.099437959	0.0194377495	0.1816141539
820	chr17	56255651	56255940	56255825	16	exon (uc008dba.1, exon 4 of 9)	exon (NM_001077348, exon 3 of 8)	1176	uc008dba.1	Plin5	perilipin-5	2.02	2.02	3.02	20.15	11.08	11.08	1.01	1.01	820-Per1_n3R16	1	burg	1	23.3450292398	6.8908129124	14.5633926102	8.2283333333	0.5942890293	0.5041310358	0.8040126922	0.0172574006	0.009157777	0.085564531
821	chr11	83719391	83719570	83719480	14	TTS (uc007kpx.1)	TTS (NM_009330)	-36112	uc007kpz.2	Ddx52	probable ATP-dependent RNA helicase DDX52	3.02	8.06	3.02	14.11	7.05	14.11	1.01	9.07	821-Per1_n3R16	0	default	1	24	2.4717482518	16	8.2283333333	0.1654878543	-0.0199592892	0.5543973909	0.4430441215	0.0511323227	0.4777483887
