ID	Chr	Start	End	Summit	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Bmal1_CT0/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT4/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT8/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT12/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT16/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT20/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_KO/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_Input/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
483	chr6	54766341	54766590	54766475	23	promoter-TSS (uc009cae.2)	promoter-TSS (NM_199143)	-445	uc009cae.2	Znrf2	E3 ubiquitin-protein ligase ZNRF2	29.62	25.75	30.9	14.16	2.58	3.86	0	2.58	483-Bmal1_n3R1	1	yule-walker	1	24.490797546	12.1918639059	4.7138153883	17.8116666667	0.6979492384	0.6308268469	0.6538289778	0.0045746693	0.0001258259	0.008915662
484	chr5	118436301	118436741	118436585	17	intron (uc008zga.1, intron 4 of 11)	B4|SINE|B4	9742	uc008zga.1	Fbxo21	F-box only protein 21	28.33	27.04	30.9	14.16	2.58	3.86	1.29	2.58	484-Bmal1_n3R1	1	yule-walker	1	24.1939393939	12.5775384228	5.0106898482	17.8116666667	0.7368329264	0.6783513545	0.6511493422	0.0024606054	8.56572139326E-005	0.0060694254
485	chr13	32886401	32886731	32886630	21	Intergenic	Intergenic	-7333	uc007pzt.2	Wrnip1	ATPase WRNIP1	18.03	29.62	27.04	21.89	7.73	1.29	0	1.29	485-Bmal1_n3R1	0	mle	1	24.0481927711	12.2603913671	6.9214630138	17.6	0.8474914878	0.8136007073	0.5755282637	0.000211263	3.78584502577E-005	0.0026825416
486	chr4	133466881	133467200	133467055	20	Intergenic	CpG	-23326	uc008vdn.2	Rps6ka1	ribosomal protein S6 kinase alpha-1	27.04	34.77	32.19	6.44	2.58	2.58	2.58	1.29	486-Bmal1_n3R1	1	burg	1	24.3414634146	15.7390207827	4.3940858223	17.6	0.7838438503	0.7358091503	0.7942824834	0.0010149723	0.000056612	0.0040113645
487	chr10	127388291	127388810	127388615	20	Intergenic	Intergenic	52959	uc007hkw.1	Sdr9c7	short-chain dehydrogenase/reductase family 9C	27.04	45.07	25.75	2.58	2.58	2.58	2.58	1.29	487-Bmal1_n3R1	0	burg	1	23.4823529412	18.5567394901	4.2996716244	17.6	0.7585983246	0.7049535079	0.9240420059	0.0016685194	7.07088790016E-005	0.0050102291
488	chr4	140903261	140903700	140903495	17	Intergenic	L2b|LINE|L2	-20655	uc008vod.1	Fam131c	hypothetical protein LOC277743	18.03	46.36	24.47	12.88	0	3.86	0	0	488-Bmal1_n3R1	0	burg	1	23.4823529412	17.5247208682	5.3219113584	17.6	0.7356641977	0.6769229082	0.8664680824	0.0025101632	8.65890680348E-005	0.006135454
489	chr1	193268131	193268660	193268325	14	Intergenic	Intergenic	-47475	uc007eci.1	Ppp2r5a	serine/threonine-protein phosphatase 2A 56 kDa	27.04	28.33	29.62	11.59	2.58	6.44	1.29	7.73	489-Bmal1_n3R1	0	burg	1	24.0481927711	12.4362104061	4.6544862942	17.6	0.7782578284	0.7289817902	0.6288590401	0.0011384588	5.91041672914E-005	0.0041879524
490	chr4	82970161	82970630	82970285	19	promoter-TSS (uc008tkq.1)	promoter-TSS (NM_027238)	-302	uc008tkq.1	Ttc39b	tetratricopeptide repeat protein 39B	20.6	28.33	32.19	23.18	1.29	0	0	1.29	490-Bmal1_n3R1	0	default	1	24	15.0746777058	6.7830897971	17.5983333333	0.8380337801	0.8020412868	0.7127199742	0.0002769555	3.93361614758E-005	0.002787248
491	chr16	30969461	30969690	30969575	26	intron (uc007yxa.2, intron 3 of 3)	intron (NM_198626, intron 3 of 3)	111943	uc007yxa.2	AI480653	hypothetical protein LOC268880	16.74	27.04	33.48	20.6	5.15	2.58	0	1.29	491-Bmal1_n3R1	0	burg	1	22.9425287356	13.9000562724	7.6307342679	17.5983333333	0.8842069541	0.8584751661	0.627478329	6.11746018629E-005	3.44231342266E-005	0.0024391249
492	chr7	147903471	147903880	147903700	19	Intergenic	Intergenic	13523	uc009kib.1	Olfr541	olfactory receptor 541	12.88	42.49	33.48	10.3	3.86	2.58	0	3.86	492-Bmal1_n3R1	0	burg	1	22.6818181818	18.3018909629	6.5476956951	17.5983333333	0.7801325071	0.7312730642	0.8560210525	0.0010957831	5.82937193165E-005	0.0041305264
493	chr19	32830501	32830861	32830635	19	Intergenic	CpG	-1386	uc008hfr.1	Pten	phosphatidylinositol-3,4,5-trisphosphate	16.74	16.74	43.78	25.75	2.58	0	0	0	493-Bmal1_n3R1	0	burg	1	23.4823529412	17.3692471168	8.3312861496	17.5983333333	0.7536958821	0.6989616337	0.8327623457	0.001826512	7.33677974674E-005	0.0051986325
494	chr1	195116271	195116600	195116410	24	intron (uc007eej.1, intron 1 of 1)	Intergenic	647	uc007eej.1	AK076929	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930558F06 product:unclassifiable, full insert sequence.	32.19	21.89	37.34	5.15	5.15	3.86	1.29	0	494-Bmal1_n3R1	0	burg	1	24.95	12.4479122032	3.8675181722	17.5966666667	0.5136871059	0.4056175739	0.7763384158	0.0390050672	0.0006808865	0.0482456692
495	chr8	11021211	11021580	11021355	23	intron (uc009kva.1, intron 1 of 4)	Intergenic	-12965	uc009kuz.1	Irs2	insulin receptor substrate 2	21.89	32.19	25.75	15.45	5.15	5.15	0	0	495-Bmal1_n3R1	1	default	1	24	11.8013021045	5.3510377737	17.5966666667	0.8271955791	0.7887945967	0.5740952407	0.000370678	4.18974171287E-005	0.0029687313
496	chr15	79158631	79159130	79158815	14	promoter-TSS (uc007wtd.2)	promoter-TSS (NM_001199023)	-79	uc007wtd.2	Pla2g6	85 kDa calcium-independent phospholipase A2	19.32	19.32	32.19	24.47	6.44	2.58	1.29	2.58	496-Bmal1_n3R1	1	default	1	24	11.9834660873	7.7907512128	17.3866666667	0.7738516395	0.7235964483	0.5827029123	0.0012438571	6.11859070613E-005	0.0043354586
497	chr2	75589011	75589380	75589165	38	Intergenic	L1ME3A|LINE|L1	46368	uc012bxn.1	AK053216	Mus musculus 0 day neonate lung cDNA, RIKEN full-length enriched library, clone:E030042O20 product:unclassifiable, full insert sequence.	11.59	24.47	54.08	9.01	2.58	2.58	0	3.86	497-Bmal1_n3R1	0	burg	1	22.9425287356	20.3206525369	7.5095491127	17.385	0.664066617	0.5894147541	1.0339946882	0.0073814084	0.0001773058	0.0125633809
498	chr4	140410191	140410561	140410415	28	Intergenic	(CA)n|Simple_repeat|Simple_repeat	-8683	uc008vnh.1	Padi1	protein-arginine deiminase type-1	18.03	19.32	41.21	16.74	5.15	3.86	1.29	2.58	498-Bmal1_n3R1	0	burg	1	23.4823529412	13.9471882754	7.5005886092	17.385	0.6973738875	0.6301236402	0.7063706332	0.0046140128	0.0001264164	0.0089575053
499	chr11	101450971	101451410	101451075	28	intron (uc007lpl.1, intron 7 of 8)	intron (NM_144830, intron 7 of 8)	7634	uc007lpl.1	Tmem106a	transmembrane protein 106A	10.3	36.06	38.63	12.88	2.58	3.86	0	2.58	499-Bmal1_n3R1	0	mle	1	23.4823529412	18.1479607595	6.7200068274	17.385	0.826634195	0.7881084606	0.8377504552	0.0003761278	4.18974171287E-005	0.0029687313
500	chr7	106373971	106374281	106374165	27	intron (uc009ilf.2, intron 2 of 5)	L1MC|LINE|L1	12995	uc009ilf.2	Mogat2	2-acylglycerol O-acyltransferase 2	12.88	32.19	39.92	19.32	0	0	0	2.58	500-Bmal1_n3R1	0	mle	1	23.3450292398	19.301718711	7.275943983	17.385	0.8983649275	0.8757793558	0.864578116	0.000034017	2.92607679786E-005	0.0020733344
501	chr12	82287741	82288070	82287875	24	TTS (uc007obu.2)	TTS (NM_001146217)	20767	uc011yok.1	Mir3067	Mus musculus microRNA 3067 (Mir3067), microRNA.	20.6	36.06	23.18	20.6	1.29	2.58	0	0	501-Bmal1_n3R1	1	default	1	24	13.6335161402	5.7240395331	17.385	0.7479135904	0.6918943883	0.6971055534	0.0020275541	7.72324742812E-005	0.0054724725
502	chr7	74807251	74807800	74807420	21	intron (uc009hit.2, intron 2 of 10)	intron (NM_025905, intron 2 of 11)	15229	uc009hit.2	Ttc23	tetratricopeptide repeat protein 23 isoform 2	33.48	38.63	19.32	9.01	2.58	1.29	0	2.58	502-Bmal1_n3R1	1	mle	1	26.091503268	14.8629668701	1.9388210573	17.385	0.7254372868	0.6644233505	0.834389781	0.0029777416	9.6024512998E-005	0.0068040226
503	chr6	54550781	54551061	54550895	20	intron (uc009cab.2, intron 1 of 13)	intron (NM_001164361, intron 1 of 13)	5816	uc009cab.2	Plekha8	pleckstrin homology domain-containing family A	21.89	21.89	28.33	19.32	6.44	6.44	1.29	0	503-Bmal1_n3R1	1	default	1	24	9.2439877247	6.4739324574	17.385	0.7490781114	0.6933176917	0.4718307436	0.0019857449	7.64438753822E-005	0.0054165946
504	chr18	46794901	46795270	46795015	20	Intergenic	Intergenic	37727	uc008evs.2	Eif1a	eukaryotic translation initiation factor 1A	21.89	29.62	34.77	14.16	2.58	1.29	1.29	1.29	504-Bmal1_n3R1	0	default	1	24	14.9910508036	5.9817422388	17.385	0.8279314103	0.7896939459	0.7279157675	0.0003636279	4.18974171287E-005	0.0029687313
505	chr1	186676051	186676441	186676290	19	Intergenic	Intergenic	-6520	uc007dyq.1	Mosc2	MOSC domain-containing protein 2, mitochondrial	27.04	32.19	33.48	7.73	2.58	1.29	1.29	2.58	505-Bmal1_n3R1	0	mle	1	24.0481927711	15.4863075972	4.8929809093	17.385	0.7704149067	0.7193959971	0.7938822732	0.0013312101	0.000063234	0.0044805776
506	chr4	154951321	154951770	154951455	19	intron (uc008wdt.2, intron 2 of 11)	intron (NM_001159637, intron 2 of 11)	15044	uc008wdt.2	Nadk	NAD kinase	29.62	29.62	27.04	12.88	3.86	1.29	2.58	1.29	506-Bmal1_n3R1	1	yule-walker	1	25.2658227848	12.5119209512	3.9035932896	17.385	0.7438074436	0.6868757644	0.6865972226	0.0021804658	8.01571678711E-005	0.0056797079
507	chr5	137583531	137584070	137583755	19	Intergenic	B4A|SINE|B4	8277	uc009abp.1	Trim56	tripartite motif-containing protein 56	23.18	23.18	33.48	9.01	7.73	7.73	1.29	0	507-Bmal1_n3R1	1	burg	1	23.7619047619	10.3546716694	5.4174992007	17.385	0.6294541017	0.5471105688	0.5668998961	0.0114759605	0.0002484486	0.0176043601
508	chr15	96861501	96862050	96861745	17	intron (uc007xkr.1, intron 1 of 15)	intron (NM_027052, intron 1 of 15)	24612	uc007xkr.1	Slc38a4	sodium-coupled neutral amino acid transporter 4	19.32	19.32	39.92	15.45	5.15	5.15	0	5.15	508-Bmal1_n3R1	0	burg	1	23.6213017751	12.8873213655	7.138273472	17.385	0.661709899	0.586534321	0.6718086384	0.007617313	0.0001815705	0.0128655639
509	chr17	47639171	47639601	47639415	17	promoter-TSS (uc008cvh.1)	promoter-TSS (NM_022015)	-150	uc008cvh.1	Taf8	transcription initiation factor TFIID subunit 8	20.6	28.33	33.48	11.59	7.73	2.58	0	1.29	509-Bmal1_n3R1	1	default	1	24	12.7619821148	5.9786439199	17.385	0.776101658	0.7263464709	0.6367116339	0.0011891289	6.04307300335E-005	0.0042819489
510	chr5	136164391	136164781	136164535	15	promoter-TSS (uc008zyt.1)	promoter-TSS (NM_008898)	-498	uc008zyt.1	Por	NADPH--cytochrome P450 reductase	23.18	29.62	24.47	16.74	5.15	5.15	0	0	510-Bmal1_n3R1	1	yule-walker	1	24.6419753086	10.6157651903	4.9412782385	17.385	0.8032924005	0.7595796007	0.5422851537	0.0006640413	4.93306225273E-005	0.003495427
511	chr17	65092941	65093271	65093085	21	intron (uc008dfy.1, intron 20 of 21)	intron (NM_008549, intron 20 of 21)	-23345	uc008dfz.1	AK050349	Mus musculus adult male liver tumor cDNA, RIKEN full-length enriched library, clone:C730040E01 product:unclassifiable, full insert sequence.	18.03	29.62	33.48	12.88	3.86	6.44	0	1.29	511-Bmal1_n3R1	0	burg	1	22.9425287356	13.6670544519	6.4916744062	17.385	0.8384720525	0.802576953	0.6354140541	0.000273599	3.93361614758E-005	0.002787248
512	chr2	65106731	65107200	65106920	20	Intergenic	Intergenic	30149	uc008jwi.1	AK007819	Mus musculus 10 day old male pancreas cDNA, RIKEN full-length enriched library, clone:1810047P18 product:hypothetical protein, full insert sequence.	12.88	25.75	42.49	16.74	5.15	1.29	1.29	1.29	512-Bmal1_n3R1	0	burg	1	23.0751445087	17.0929250844	7.7656550274	17.3833333333	0.832657612	0.7954704146	0.7893522828	0.0003207944	4.1309318356E-005	0.0029270603
513	chr9	61576021	61576560	61576245	20	Intergenic	Intergenic	186027	uc009pzt.1	Rplp1	60S acidic ribosomal protein P1	18.03	32.19	37.34	9.01	5.15	2.58	2.58	1.29	513-Bmal1_n3R1	0	burg	1	23.4823529412	15.7705570928	6.1887554562	17.3833333333	0.7860381148	0.7384910292	0.763473328	0.0009694242	5.5622701822E-005	0.0039412657
514	chr4	106136001	106136241	106136125	22	intron (uc008tyi.2, intron 1 of 11)	intron (NM_153565, intron 1 of 11)	809	uc008tyi.2	Pcsk9	proprotein convertase subtilisin/kexin type 9	30.9	29.62	23.18	11.59	3.86	5.15	0	1.29	514-Bmal1_n3R1	1	burg	1	27.3424657534	11.3036571561	1.3417457826	17.3833333333	0.7472569152	0.6910917852	0.6354582174	0.0020514303	7.7692529532E-005	0.0055050707
515	chr7	73059801	73060061	73059945	22	intron (uc009hgx.2, intron 2 of 21)	intron (NM_011048, intron 2 of 21)	52909	uc009hgx.2	Pcsk6	paired basic amino acid cleaving system 4	19.32	25.75	33.48	16.74	3.86	5.15	0	2.58	515-Bmal1_n3R1	0	burg	1	23.6213017751	12.770804886	6.5996239241	17.3833333333	0.8328067357	0.7956526769	0.6059883839	0.00031951	4.12847513552E-005	0.0029253195
516	chr6	108610281	108610541	108610435	19	promoter-TSS (uc009ddm.1)	promoter-TSS (NM_011498)	-212	uc009ddn.1	Bhlhe40	class E basic helix-loop-helix protein 40	23.18	27.04	30.9	14.16	6.44	2.58	0	0	516-Bmal1_n3R1	1	burg	1	24.6419753086	11.8413200521	5.4641234256	17.3833333333	0.7868546848	0.7394890591	0.6028102313	0.0009528863	5.5163642609E-005	0.0039087381
517	chr7	52379801	52380081	52379955	21	promoter-TSS (uc009gth.2)	promoter-TSS (NM_013725)	-182	uc009gth.2	Rps11	40S ribosomal protein S11	29.62	28.33	29.62	7.73	5.15	2.58	0	1.29	517-Bmal1_n3R1	1	mle	1	24.6419753086	12.6670932801	3.9841900739	17.1716666667	0.7072272446	0.6421666323	0.7056721951	0.0039754653	0.0001152034	0.0081629865
518	chr15	76038591	76038911	76038775	28	Intergenic	promoter-TSS (NM_001164203)	-2000	uc007wjc.2	Plec	plectin isoform 12alpha	16.74	41.21	28.33	7.73	6.44	2.58	0	0	518-Bmal1_n3R1	0	burg	1	22.8114285714	15.8474858156	5.9289939707	17.1716666667	0.7273619197	0.6667756796	0.7955650506	0.0028849568	9.40381735996E-005	0.0066632763
519	chr15	88701231	88701650	88701465	19	Intergenic	Intergenic	8816	uc007xeq.1	Pim3	serine/threonine-protein kinase pim-3	21.89	15.45	34.77	23.18	5.15	2.58	0	3.86	519-Bmal1_n3R1	1	default	1	24	11.7252623	7.7010054253	17.17	0.6240939561	0.5405592797	0.6417391638	0.0122421272	0.0002618269	0.0185523048
520	chr7	127315871	127316180	127315985	29	Intergenic	Intergenic	-1347	uc009jmj.2	Anks4b	ankyrin repeat and SAM domain-containing protein	19.32	25.75	39.92	14.16	1.29	2.58	2.58	0	520-Bmal1_n3R1	0	burg	1	23.7619047619	15.7815262553	6.5469982683	17.17	0.7810017392	0.732335459	0.7777257623	0.0010764231	5.79984206091E-005	0.0041096024
521	chr15	35817351	35817600	35817475	25	intron (uc007vmh.2, intron 54 of 61)	RSINE1|SINE|B4	50526	uc007vmi.1	Cox6c	cytochrome c oxidase subunit 6C	29.62	34.77	25.75	9.01	2.58	1.29	0	0	521-Bmal1_n3R1	1	mle	1	24.7950310559	14.5004339057	3.7178804246	17.17	0.7769572466	0.7273921903	0.7777631973	0.001168817	5.97933192646E-005	0.0042367838
522	chr5	38880561	38880940	38880735	22	Intergenic	intron (NM_145559, intron 1 of 10)	-6126	uc008xgq.1	Slc2a9	solute carrier family 2, member 9 isoform 2	16.74	27.04	37.34	18.03	1.29	2.58	0	2.58	522-Bmal1_n3R1	0	burg	1	23.3450292398	15.8441429434	7.1068183476	17.17	0.8582202964	0.8267136956	0.7406066028	0.000152147	3.63661337356E-005	0.0025768003
523	chr6	125221551	125221860	125221735	22	intron (uc009dug.1, intron 3 of 3)	intron (NR_015527, intron 3 of 3)	6162	uc009duh.1	4930417O13Rik	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930417O13 product:unclassifiable, full insert sequence.	20.6	19.32	37.34	18.03	6.44	1.29	0	3.86	523-Bmal1_n3R1	1	default	1	24	12.916644978	7.2292515115	17.17	0.707146928	0.6420684676	0.6688281809	0.0039803754	0.0001152467	0.0081660488
524	chr14	8871611	8871920	8871755	22	intron (uc007sen.1, intron 2 of 8)	intron (NM_025341, intron 2 of 8)	36349	uc007sen.1	Abhd6	monoacylglycerol lipase ABHD6	12.88	20.6	39.92	21.89	6.44	1.29	0	1.29	524-Bmal1_n3R1	0	mle	1	24.0481927711	15.9142288219	7.9637364573	17.17	0.8543393014	0.8219702573	0.7279429979	0.000171807	3.73709004257E-005	0.0026479952
525	chr2	131135041	131135440	131135185	19	intron (uc008mll.2, intron 2 of 5)	intron (NM_178607, intron 2 of 5)	21452	uc012cem.1	Mir103-2	Mus musculus microRNA 103-2 (Mir103-2), microRNA.	18.03	24.47	28.33	20.6	5.15	6.44	1.29	2.58	525-Bmal1_n3R1	1	default	1	24	10.6186032003	6.7786399516	17.17	0.8531191612	0.8204789748	0.5043567628	0.0001783788	3.73709004257E-005	0.0026479952
526	chr17	45962751	45963140	45962980	25	Intergenic	ID_B1|SINE|B4	58801	uc008crm.1	AK080425	Mus musculus 7 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:A730010D03 product:unclassifiable, full insert sequence.	16.74	39.92	28.33	11.59	3.86	2.58	1.29	3.86	526-Bmal1_n3R1	0	mle	1	23.6213017751	15.7680049311	5.7116649054	17.17	0.7912911365	0.7449113891	0.7753777822	0.0008668302	5.32264140342E-005	0.0037714716
527	chr4	62890971	62891291	62891110	22	intron (uc008tfs.1, intron 3 of 60)	MIRb|SINE|MIR	14685	uc008tfs.1	Col27a1	collagen alpha-1(XXVII) chain precursor	18.03	21.89	41.21	14.16	5.15	2.58	1.29	0	527-Bmal1_n3R1	0	burg	1	23.4823529412	14.5823765056	7.1880447565	17.17	0.7200602671	0.6578514376	0.7395124562	0.0032493048	0.0001009399	0.0071523158
528	chr6	108469321	108469860	108469530	21	intron (uc009ddh.2, intron 59 of 61)	intron (NM_010585, intron 59 of 61)	103571	uc009ddl.1	AK002866	Mus musculus adult male kidney cDNA, RIKEN full-length enriched library, clone:0610040F04 product:unclassifiable, full insert sequence.	15.45	23.18	38.63	19.32	5.15	1.29	1.29	2.58	528-Bmal1_n3R1	0	burg	1	23.3450292398	15.2387432104	7.7499536748	17.17	0.8453936685	0.8110367059	0.7136566813	0.0002246584	3.8278517204E-005	0.0027123064
529	chr17	29535161	29535640	29535275	17	Intergenic	Intergenic	37541	uc012aon.1	Fgd2	FYVE, RhoGEF and PH domain-containing protein 2	20.6	24.47	32.19	18.03	2.58	5.15	0	1.29	529-Bmal1_n3R1	1	burg	1	23.7619047619	12.3074056275	6.4809158882	17.17	0.8044806714	0.7610319317	0.6056065392	0.0006461802	4.88787893647E-005	0.0034634114
530	chr4	95245951	95246250	95246100	29	intron (uc008tsy.2, intron 1 of 15)	promoter-TSS (NM_029347)	21902	uc008tsy.2	Fggy	FGGY carbohydrate kinase domain-containing	12.88	20.6	42.49	16.74	6.44	3.86	1.29	1.29	530-Bmal1_n3R1	0	burg	1	23.0751445087	15.1785116588	8.0435044504	17.1683333333	0.75926278	0.70576562	0.7382056602	0.0016479521	7.00901147576E-005	0.0049663853
531	chr8	86238801	86239130	86238930	25	promoter-TSS (uc009mla.2)	promoter-TSS (NM_197982)	-111	uc009mla.2	Ddx39	ATP-dependent RNA helicase DDX39	28.33	25.75	37.34	7.73	3.86	0	0	0	531-Bmal1_n3R1	1	mle	1	24.7950310559	14.2726741181	4.7771736265	17.1683333333	0.6486085847	0.5705216035	0.8120045315	0.0090377466	0.0002066896	0.014645431
532	chr2	160176781	160177001	160176895	24	Intergenic	Intergenic	15910	uc008nqw.2	Mafb	transcription factor MafB	5.15	23.18	32.19	32.19	6.44	3.86	0	2.58	532-Bmal1_n3R1	1	default	1	24	16.7484488842	8.8414475016	17.1683333333	0.9218614252	0.9044972974	0.7228587458	1.04206470415E-005	2.44457300194E-005	0.0017321546
533	chr1	36131821	36132270	36132005	23	intron (uc007apn.2, intron 1 of 1)	intron (NM_015818, intron 1 of 1)	6800	uc007apn.2	Hs6st1	heparan-sulfate 6-O-sulfotransferase 1	20.6	21.89	45.07	10.3	1.29	3.86	1.29	5.15	533-Bmal1_n3R1	1	burg	1	23.2093023256	15.9518677948	6.7561439375	17.1683333333	0.639129744	0.5589363538	0.8537278372	0.0101877879	0.0002264552	0.0160459681
534	chr1	196187541	196187820	196187670	22	Intergenic	Intergenic	-258343	uc007een.1	Plxna2	plexin-A2 precursor	14.16	32.19	30.9	16.74	6.44	2.58	0	2.58	534-Bmal1_n3R1	0	mle	1	24.0481927711	13.9882751745	6.6150357778	17.1683333333	0.8720926284	0.843668768	0.6518085701	0.000095726	3.47668813792E-005	0.0024634819
535	chr14	47844481	47844810	47844585	20	Intergenic	Intergenic	-35568	uc007tht.1	Gch1	GTP cyclohydrolase 1 precursor	15.45	27.04	25.75	25.75	5.15	3.86	0	1.29	535-Bmal1_n3R1	0	burg	1	23.7619047619	11.9192222775	7.5328681896	17.1666666667	0.8281729517	0.7899891632	0.5673980446	0.0003613365	4.18974171287E-005	0.0029687313
536	chr6	97241521	97241840	97241645	25	intron (uc009daw.2, intron 23 of 23)	intron (NM_145148, intron 23 of 23)	-38906	uc009das.1	Lmod3	leiomodin-3	23.18	38.63	24.47	11.59	1.29	2.58	0	0	536-Bmal1_n3R1	0	default	1	24	15.1342094264	4.7553574448	16.9566666667	0.7950675127	0.7495269599	0.7786065988	0.0007984517	0.000051984	0.0036834404
537	chr9	23257761	23258140	23257925	25	intron (uc009oow.1, intron 13 of 14)	intron (NM_028472, intron 13 of 14)	230430	uc009oow.1	Bmper	BMP-binding endothelial regulator protein	29.62	23.18	36.06	9.01	2.58	1.29	0	1.29	537-Bmal1_n3R1	0	mle	1	24.6419753086	13.3760128664	4.7363078415	16.9566666667	0.6159820093	0.530644678	0.790964403	0.0134766537	0.000281182	0.0199237563
538	chr14	121507651	121507900	121507765	30	intron (uc007vaa.1, intron 2 of 26)	intron (NM_134082, intron 2 of 26)	72979	uc007vaa.1	Farp1	FERMRhoGEF (Arhgef) and pleckstrin domain	32.19	39.92	25.75	2.58	0	1.29	0	2.58	538-Bmal1_n3R1	0	burg	1	24.0481927711	18.1995409714	3.6511447883	16.955	0.7861243485	0.7385964259	0.9559900403	0.0009676673	5.5622701822E-005	0.0039412657
539	chr5	89345791	89346140	89345965	25	intron (uc008yaj.2, intron 1 of 24)	intron (NM_018760, intron 1 of 25)	29680	uc008yaj.2	Slc4a4	electrogenic sodium bicarbonate cotransporter 1	12.88	43.78	25.75	11.59	5.15	2.58	1.29	2.58	539-Bmal1_n3R1	0	burg	1	23.3450292398	16.0202551655	5.9388239955	16.955	0.7006599207	0.6341399031	0.8300290863	0.0043928049	0.000122753	0.008697929
540	chr8	14771781	14772090	14771895	24	intron (uc012gac.1, intron 6 of 14)	RSINE1|SINE|B4	-24508	uc009kzc.1	AK021128	Mus musculus adult male corpus striatum cDNA, RIKEN full-length enriched library, clone:C030037F17 product:unclassifiable, full insert sequence.	21.89	38.63	19.32	16.74	3.86	1.29	0	0	540-Bmal1_n3R1	1	mle	1	24.490797546	12.9630892794	4.7922470445	16.955	0.6742641365	0.601878389	0.7290095543	0.006425325	0.0001597299	0.0113180036
541	chr10	3205911	3206200	3206020	24	intron (uc007efb.1, intron 5 of 12)	intron (NM_172546, intron 5 of 12)	71751	uc007efb.1	Cnksr3	connector enhancer of kinase suppressor of ras	18.03	33.48	33.48	5.15	5.15	6.44	0	2.58	541-Bmal1_n3R1	0	burg	1	23.4823529412	14.5936492341	5.4260242877	16.955	0.7491058866	0.6933516392	0.7368870257	0.001984756	7.64438753822E-005	0.0054165946
542	chr5	124454801	124455260	124455105	18	3' UTR (uc008zot.1, exon 4 of 4)	3' UTR (NM_177876, exon 4 of 4)	27239	uc008zot.1	Vps37b	vacuolar protein sorting-associated protein 37B	29.62	15.45	28.33	21.89	2.58	3.86	2.58	0	542-Bmal1_n3R1	0	mle	1	26.091503268	8.7982952946	4.7095979053	16.955	0.4081910909	0.276678	0.6345599126	0.0943662603	0.0014733766	0.104399253
543	chr4	130597071	130597590	130597235	17	Intergenic	MLT1H2|LTR|MaLR	-30941	uc008uzy.1	AK020914	Mus musculus adult retina cDNA, RIKEN full-length enriched library, clone:A930031H19 product:unclassifiable, full insert sequence.	16.74	27.04	34.77	18.03	5.15	0	0	1.29	543-Bmal1_n3R1	0	mle	1	23.2093023256	14.7874058895	7.3988310134	16.955	0.8711841657	0.8425584247	0.7008052453	9.8823817999E-005	3.54141262751E-005	0.0025093438
544	chr15	7087591	7087990	7087760	14	Intergenic	intron (NM_001113386, intron 2 of 16)	-2752	uc007vdy.2	Lifr	leukemia inhibitory factor receptor isoform 1	24.47	23.18	29.62	15.45	3.86	5.15	0	5.15	544-Bmal1_n3R1	1	yule-walker	1	24.3414634146	10.5944214488	5.4312375417	16.955	0.725491187	0.6644892286	0.5742218403	0.002975112	9.6024512998E-005	0.0068040226
545	chr17	87687331	87687621	87687445	23	intron (uc008duv.2, intron 1 of 19)	intron (NM_028639, intron 1 of 19)	5250	uc008duv.2	Ttc7	tetratricopeptide repeat protein 7A	18.03	27.04	36.06	14.16	2.58	3.86	0	2.58	545-Bmal1_n3R1	0	burg	1	23.4823529412	14.5193494605	6.595145151	16.955	0.8266160864	0.7880863278	0.703563862	0.0003763047	4.18974171287E-005	0.0029687313
546	chr4	141624951	141625500	141625160	26	intron (uc008vpr.1, intron 1 of 2)	intron (NM_145402, intron 1 of 2)	-14988	uc008vpt.1	Gm10565	Mus musculus 2 days neonate thymus thymic cells cDNA, RIKEN full-length enriched library, clone:E430026J04 product:hypothetical protein, full insert sequence.	30.9	43.78	15.45	3.86	2.58	5.15	1.29	3.86	546-Bmal1_n3R1	0	burg	1	23.9041916168	17.0003584069	2.975029735	16.9533333333	0.7255233644	0.6645285564	0.9118249928	0.002973543	9.6024512998E-005	0.0068040226
