ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Clock_CT0/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT4/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT8/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT12/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT16/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT20/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_KO/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_Input/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
592	chr2	162811921	162812230	162812030	15	Intergenic	Intergenic	-1142	uc008nsg.2	Sgk2	serine/threonine-protein kinase Sgk2	10.28	12.65	13.44	8.7	3.16	3.16	0.79	2.37	592-Clock_n3R15	1	burg	1	24.0481927711	4.8719002893	6.0388704956	8.565	0.8358655246	0.7993911967	0.4810131498	0.0002940351	0.0007428168	0.0058231966
593	chr10	79744041	79744460	79744155	15	intron (uc007gcm.2, intron 7 of 11)	intron (NM_133188, intron 7 of 11)	-10926	uc007gcn.2	Rps15	40S ribosomal protein S15	5.53	10.28	16.6	9.49	5.53	3.95	0	1.58	593-Clock_n3R15	0	mle	1	24.0481927711	5.4659614354	8.0667730034	8.5633333333	0.8518008797	0.8188677419	0.4956232239	0.0001856972	0.0006188014	0.0048509972
594	chr11	69486011	69486250	69486085	10	promoter-TSS (uc007jra.2)	promoter-TSS (NM_001159375)	-205	uc007jra.2	Eif4a1	eukaryotic initiation factor 4A-I isoform 1	6.33	7.91	11.07	8.7	7.91	8.7	0.79	1.58	594-Clock_n3R15	0	burg	1	22.0552486188	1.3415411458	10.1475169862	8.4366666667	0.4873231162	0.3733949198	0.16808693	0.0494648631	0.0128581688	0.1007996068
595	chr11	70817871	70818280	70818050	11	promoter-TSS (uc007jxg.1)	promoter-TSS (NM_178367)	-141	uc007jxg.1	Dhx33	putative ATP-dependent RNA helicase DHX33	10.28	7.91	12.65	7.91	6.33	5.53	1.58	1.58	595-Clock_n3R15	0	burg	1	24.6419753086	2.1384983182	6.2495459253	8.435	0.4486480577	0.3261254039	0.2846585935	0.0686167414	0.0161924563	0.1269382335
596	chr17	29649951	29650260	29650150	10	Intergenic	Intergenic	22115	uc008bsz.1	Pim1	proto-oncogene serine/threonine-protein kinase	11.07	10.28	7.91	9.49	4.74	7.12	0.79	3.16	596-Clock_n3R15	1	burg	1	26.4370860927	1.7596840166	1.5250050489	8.435	0.4420013311	0.3180016269	0.2520399108	0.0724184513	0.0167421953	0.1312478265
597	chr16	11132981	11133180	11133080	15	intron (uc007yet.1, intron 1 of 11)	intron (NM_029582, intron 1 of 11)	1545	uc007yet.1	Txndc11	thioredoxin domain-containing protein 11 isoform	11.86	6.33	9.49	4.74	9.49	8.7	0.79	0.79	597-Clock_n3R15	0	yule-walker	1	24.3414634146	1.8498077216	22.2674607341	8.435	0.3184028016	0.1669367575	0.2742621429	0.178186618	0.0318739544	0.2498708896
598	chr12	88288131	88288410	88288240	14	promoter-TSS (uc007oic.2)	promoter-TSS (NM_173735)	-23	uc007oic.2	2310044G17Rik	hypothetical protein LOC217732	7.12	13.44	12.65	9.49	0.79	7.12	2.37	0	598-Clock_n3R15	0	burg	1	22.3016759777	5.0206470398	6.8902842217	8.435	0.7202718188	0.6581100007	0.4979106094	0.0032382696	0.0023017247	0.0180440116
599	chr5	23929311	23929640	23929485	12	promoter-TSS (uc008wrl.1)	promoter-TSS (NM_007668)	-127	uc008wrl.1	Cdk5	cell division protein kinase 5	8.7	12.65	7.91	8.7	3.95	8.7	1.58	0.79	599-Clock_n3R15	0	burg	1	23.0751445087	2.5411784508	4.3769986766	8.435	0.512240115	0.4038490294	0.2997936665	0.0395300495	0.0109597391	0.0859171634
600	chr9	43893551	43893991	43893750	12	intron (uc009pbo.1, intron 2 of 12)	intron (NM_198091, intron 1 of 11)	-16082	uc009pbr.2	Mfrp	membrane frizzled-related protein isoform 1	4.74	6.33	16.6	7.91	8.7	6.33	0.79	2.37	600-Clock_n3R15	0	yule-walker	1	23.9041916168	3.9035547273	9.5649360995	8.435	0.5137867745	0.4057393911	0.4579510858	0.0389691072	0.010844892	0.085016838
601	chr6	121255581	121255970	121255815	11	intron (uc009doj.1, intron 2 of 14)	intron (NM_144512, intron 2 of 14)	5461	uc009doj.1	Slc6a13	sodium- and chloride-dependent GABA transporter	11.86	8.7	13.44	5.53	3.95	7.12	0.79	3.95	601-Clock_n3R15	1	burg	1	23.2093023256	3.1167878064	4.6350723853	8.4333333333	0.4684111976	0.3502803526	0.3966408578	0.0582225482	0.0143527222	0.1125159247
602	chr4	103891331	103891840	103891535	10	Intergenic	L1MB3|LINE|L1	-148580	uc008txw.1	Dab1	disabled homolog 1 isoform 2	13.44	7.91	4.74	12.65	5.53	6.33	0	3.95	602-Clock_n3R15	0	default	1	24	0.7086315264	22.9451871033	8.4333333333	0.0230399458	-0.1940622885	0.4039022887	0.9004210311	0.1163652551	0.9122272509
603	chr9	23257721	23258110	23257905	16	intron (uc009oow.1, intron 13 of 14)	intron (NM_028472, intron 13 of 14)	230395	uc009oow.1	Bmper	BMP-binding endothelial regulator protein	11.86	8.7	15.02	7.12	3.95	3.95	0.79	3.95	603-Clock_n3R15	0	mle	1	24.7950310559	3.7840381524	5.3846808572	8.4333333333	0.5228537822	0.4168212894	0.4770737889	0.0358040113	0.0102184333	0.0801058129
604	chr7	127317131	127317520	127317245	13	promoter-TSS (uc009jmj.2)	promoter-TSS (NM_028085)	-47	uc009jmj.2	Anks4b	ankyrin repeat and SAM domain-containing protein	9.49	7.91	15.81	7.12	5.53	4.74	1.58	1.58	604-Clock_n3R15	0	burg	1	23.4823529412	3.5407217794	7.3104666051	8.4333333333	0.5070530848	0.3975093259	0.4318998937	0.041457269	0.0113440682	0.0889300513
605	chr4	132833681	132834021	132833915	11	promoter-TSS (uc008vcp.1)	promoter-TSS (NM_025667)	-146	uc008vcp.1	Tmem222	transmembrane protein 222	7.12	5.53	13.44	11.07	4.74	8.7	0	1.58	605-Clock_n3R15	0	yule-walker	1	23.7619047619	2.5517489278	9.4347057952	8.4333333333	0.3536203705	0.2099804529	0.3618859313	0.1403442021	0.0267126476	0.2094096302
606	chr17	47595381	47595630	47595515	15	intron (uc008cvg.2, intron 2 of 4)	MTE2a|LTR|MaLR	-21181	uc008cve.2	1700001C19Rik	hypothetical protein LOC75462 isoform 1	7.91	10.28	13.44	11.07	2.37	5.53	0	0.79	606-Clock_n3R15	0	burg	1	23.0751445087	4.3468825566	7.6729189416	8.4333333333	0.7478624895	0.6918319317	0.435400567	0.0020294043	0.0018378883	0.014407838
607	chr10	127382611	127382880	127382710	18	Intergenic	Intergenic	47154	uc007hkw.1	Sdr9c7	short-chain dehydrogenase/reductase family 9C	12.65	16.6	15.02	2.37	2.37	1.58	0.79	3.95	607-Clock_n3R15	0	burg	1	23.7619047619	7.2516997472	4.6496000445	8.4316666667	0.7587008027	0.7050787588	0.7630402942	0.0016653344	0.0016834852	0.0131974191
608	chr5	148133761	148134100	148133985	12	promoter-TSS (uc009aoa.2)	promoter-TSS (NM_001039678)	86	uc009aoa.2	Prhoxnb	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline	7.91	8.7	11.07	6.33	6.33	9.49	0	0	608-Clock_n3R15	0	burg	1	21.5783783784	1.537096717	5.9257111348	8.305	0.3772732437	0.2388895201	0.2036470748	0.1186694331	0.0237570268	0.186239503
609	chr18	13027541	13027871	13027760	21	intron (uc008ecu.1, intron 15 of 27)	intron (NM_207530, intron 15 of 27)	72523	uc008ecu.1	Osbpl1a	oxysterol-binding protein-related protein 1	6.33	9.49	18.19	9.49	2.37	3.95	0	3.16	609-Clock_n3R15	0	burg	1	23.0751445087	6.2303359003	8.0505344657	8.3033333333	0.7711151637	0.7202518667	0.6192138374	0.0013130359	0.0014637554	0.0114748819
610	chr2	77341761	77342051	77341905	15	intron (uc008kfz.2, intron 3 of 9)	intron (NM_178723, intron 3 of 9)	41155	uc008kgb.1	AK078367	Mus musculus 10 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:6530418F06 product:unclassifiable, full insert sequence.	7.91	7.12	7.91	14.23	8.7	3.95	1.58	3.95	610-Clock_n3R15	0	burg	1	22.3016759777	3.1439220615	12.4775416003	8.3033333333	0.5525835097	0.453157623	0.3677463753	0.0268042673	0.0084798509	0.0664764671
611	chr4	104859361	104859680	104859465	12	intron (uc008tye.1, intron 1 of 5)	intron (NM_080555, intron 1 of 5)	29568	uc008tye.1	Ppap2b	lipid phosphate phosphohydrolase 3	10.28	11.86	7.91	11.07	0	8.7	0.79	3.16	611-Clock_n3R15	0	mle	1	24.6419753086	3.0378812789	3.4774718814	8.3033333333	0.3253038571	0.1753713809	0.4753412953	0.1702107648	0.0307448274	0.2410192748
612	chr9	107489801	107490121	107490005	11	promoter-TSS (uc009rmd.1)	promoter-TSS (NM_025903)	-88	uc009rmd.1	Ifrd2	interferon-related developmental regulator 2	11.86	8.7	7.91	10.28	3.16	7.91	1.58	0.79	612-Clock_n3R15	1	burg	1	25.9220779221	1.7328216866	1.228334825	8.3033333333	0.2429347266	0.0746979992	0.3241942809	0.2858248372	0.0457076169	0.3583177267
613	chr11	98616291	98616640	98616425	18	intron (uc007lhe.1, intron 2 of 8)	intron (NM_178060, intron 2 of 8)	13278	uc007lhe.1	Thra	thyroid hormone receptor alpha	2.37	7.12	12.65	18.19	7.91	1.58	1.58	2.37	613-Clock_n3R15	0	mle	1	24.0481927711	7.8342848563	10.4628828145	8.3033333333	0.9251899718	0.9085655211	0.6928896519	8.56681095118E-006	0.0001535214	0.0012035071
614	chr4	101042261	101042491	101042375	15	intron (uc008tvm.1, intron 2 of 3)	Intergenic	-13562	uc008tvl.1	AK021368	Mus musculus 0 day neonate eyeball cDNA, RIKEN full-length enriched library, clone:E130102H24 product:hypothetical protein, full insert sequence.	12.65	7.91	11.86	6.33	4.74	6.33	0	0.79	614-Clock_n3R15	0	burg	1	27.9160839161	2.3440767656	0.4360748739	8.3033333333	0.4065445037	0.2746655045	0.3551719362	0.095553523	0.0203266411	0.1593475298
615	chr4	40775951	40776270	40776160	13	intron (uc008shw.1, intron 1 of 5)	intron (NM_022305, intron 1 of 5)	24921	uc008shw.1	B4galt1	beta-1,4-galactosyltransferase 1	7.12	6.33	13.44	11.07	7.12	4.74	1.58	0.79	615-Clock_n3R15	1	burg	1	23.3450292398	3.622393426	9.9777040048	8.3033333333	0.7663086524	0.7143772418	0.3593945885	0.0014417563	0.0015325096	0.0120138695
616	chr5	65741821	65742240	65741960	13	intron (uc008xnn.1, intron 1 of 4)	RSINE1|SINE|B4	2380	uc008xnn.1	Klb	beta-klotho	14.23	7.91	12.65	6.33	2.37	6.33	0	1.58	616-Clock_n3R15	0	mle	1	25.4267515924	3.3268734416	2.253556283	8.3033333333	0.4216956529	0.2931835758	0.484651278	0.085055824	0.0187701124	0.1471453656
617	chr8	47448521	47448840	47448630	13	Intergenic	Intergenic	-68655	uc009lqd.1	Helt	hairy and enhancer of split-related protein	7.12	7.91	12.65	11.07	4.74	6.33	0.79	7.12	617-Clock_n3R15	1	burg	1	22.8114285714	3.1884991685	9.0675029924	8.3033333333	0.7180107395	0.6553464594	0.3286988115	0.0033577361	0.0023412625	0.0183539618
618	chr11	3863861	3864181	3863990	13	promoter-TSS (uc007hua.1)	promoter-TSS (NM_022889)	43	uc007hua.1	Pes1	pescadillo homolog	6.33	12.65	14.23	6.33	3.16	7.12	0	1.58	618-Clock_n3R15	0	burg	1	22.1777777778	4.7419575943	6.8596699099	8.3033333333	0.7418881884	0.684530008	0.4655582361	0.0022549424	0.0019326361	0.0151505986
619	chr8	114250471	114250761	114250600	12	intron (uc009nmu.2, intron 1 of 6)	intron (NM_009954, intron 1 of 6)	17133	uc009nmu.2	Bcar1	breast cancer anti-estrogen resistance protein 1	13.44	6.33	10.28	9.49	6.33	3.95	0	1.58	619-Clock_n3R15	0	default	1	24	1.2453204567	6.2322608555	8.3033333333	0.0924877442	-0.109181646	0.3758618475	0.6461543087	0.088474222	0.6935798507
620	chr11	87262401	87262730	87262515	12	intron (uc011yby.1, intron 2 of 30)	intron (NM_001199293, intron 2 of 30)	21472	uc011yby.1	Tex14	testis-expressed protein 14 isoform a	11.86	7.91	10.28	7.12	3.16	9.49	0	2.37	620-Clock_n3R15	1	mle	1	23.9041916168	2.3885778438	2.1941152427	8.3033333333	0.3971603242	0.2631959518	0.3333716599	0.1025435207	0.0213828559	0.1676275606
621	chr2	122067711	122068050	122067935	11	intron (uc008maj.1, intron 1 of 8)	MIR|SINE|MIR	7305	uc008maj.1	Sord	sorbitol dehydrogenase	11.07	4.74	9.49	5.53	8.7	10.28	0	6.33	621-Clock_n3R15	0	burg	1	24.6419753086	1.926890632	21.0669619776	8.3016666667	0.3230960081	0.1726728988	0.2846980015	0.172731617	0.0310862254	0.2436956107
622	chr15	85159601	85159931	85159765	11	Intergenic	Intergenic	-7045	uc007xdd.1	Atxn10	ataxin-10	12.65	7.12	13.44	10.28	3.16	3.16	1.58	3.16	622-Clock_n3R15	0	mle	1	25.2658227848	3.4594609412	5.8936937517	8.3016666667	0.4023024784	0.269480807	0.5002842661	0.0986657786	0.0207646177	0.1627809785
623	chr13	111245361	111245700	111245495	21	Intergenic	Intergenic	60278	uc007rvs.2	Plk2	serine/threonine-protein kinase PLK2	5.53	7.91	20.56	6.33	3.95	5.53	0	1.58	623-Clock_n3R15	0	burg	1	22.4269662921	5.7789510562	8.2949780993	8.3016666667	0.5418521416	0.4400415064	0.6753674964	0.0298212246	0.0091031529	0.0713627459
624	chr2	165812361	165812820	165812515	8	Intergenic	HAL1-3A_ME|LINE|L1	-5547	uc008nyi.2	Ncoa3	nuclear receptor coactivator 3	5.53	9.49	9.49	9.49	5.53	10.28	0	0.79	624-Clock_n3R15	0	burg	1	22.3016759777	1.3330208837	7.8936404653	8.3016666667	0.2288243798	0.0574520197	0.238466185	0.3105916754	0.0487464091	0.3821398639
625	chr10	124758551	124758861	124758725	18	intron (uc007hgy.1, intron 1 of 6)	intron (NM_011391, intron 1 of 6)	6885	uc007hgy.1	Slc16a7	monocarboxylate transporter 2	4.74	8.7	18.98	9.49	5.53	2.37	0	2.37	625-Clock_n3R15	0	mle	1	24.0481927711	6.695447694	8.4527992703	8.3016666667	0.8000002371	0.7555558454	0.6433501213	0.0007155379	0.0010579523	0.0082936521
626	chr9	66047561	66047771	66047680	17	intron (uc009qen.2, intron 2 of 11)	intron (NM_010019, intron 2 of 11)	41633	uc009qen.2	Dapk2	death-associated protein kinase 2	14.23	7.12	11.07	9.49	3.95	3.95	0	1.58	626-Clock_n3R15	0	default	1	24	2.2660128373	5.1766456557	8.3016666667	0.2205757146	0.0473703179	0.4493447292	0.325823722	0.0505733167	0.3964616208
627	chr13	34554501	34554840	34554725	16	Intergenic	Intergenic	-117619	uc007qbh.1	Slc22a23	solute carrier family 22 member 23	7.12	8.7	15.81	8.7	3.95	5.53	1.58	3.95	627-Clock_n3R15	0	burg	1	22.9425287356	4.3559501719	8.0124153509	8.3016666667	0.7018009268	0.6355344661	0.4526067206	0.0043179569	0.0026851064	0.0210494723
628	chr10	87035231	87035660	87035345	13	intron (uc007gqt.2, intron 8 of 12)	intron (NM_008777, intron 8 of 12)	50905	uc007gqt.2	Pah	phenylalanine-4-hydroxylase	7.12	5.53	17.4	12.65	3.16	3.95	0	6.33	628-Clock_n3R15	0	burg	1	23.2093023256	5.6987410158	9.2423422397	8.3016666667	0.6537083175	0.5767546102	0.6144916823	0.0084623167	0.0039939435	0.0313098963
629	chr17	85093161	85093450	85093350	13	intron (uc008dta.1, intron 6 of 12)	intron (NM_026180, intron 6 of 12)	10834	uc008dta.1	Abcg8	ATP-binding cassette sub-family G member 8	10.28	9.49	7.91	12.65	5.53	3.95	0	2.37	629-Clock_n3R15	0	mle	1	24.95	2.1752834446	7.3016375189	8.3016666667	0.303432618	0.1486398665	0.3512139637	0.1964871272	0.0343937212	0.2696242075
630	chr8	123071491	123071790	123071610	12	intron (uc009nqz.2, intron 1 of 15)	intron (NM_001145896, intron 1 of 15)	41335	uc009nrd.1	Gins2	DNA replication complex GINS protein PSF2	10.28	9.49	11.86	5.53	3.95	8.7	0.79	0.79	630-Clock_n3R15	0	burg	1	23.6213017751	2.8270920769	3.6954095361	8.3016666667	0.5681276871	0.472156062	0.3290263824	0.0228612057	0.0076598124	0.0600479035
631	chr9	63837621	63837921	63837785	12	intron (uc009qbk.2, intron 3 of 3)	intron (NM_008542, intron 3 of 3)	32095	uc009qbk.2	Smad6	mothers against decapentaplegic homolog 6	15.02	11.07	7.91	8.7	1.58	5.53	0	5.53	631-Clock_n3R15	0	burg	1	27.5310344828	3.7939422955	27.4700562647	8.3016666667	0.5409668365	0.4389594669	0.506244301	0.0300814165	0.0091603648	0.0718112497
632	chr16	91359761	91360050	91359905	17	Intergenic	B4|SINE|B4	-13123	uc007zxh.2	Ifnar2	interferon alpha/beta receptor 2 isoform a	15.02	7.12	13.44	5.53	2.37	6.33	0	0	632-Clock_n3R15	0	burg	1	27.7222222222	3.4243417435	0.0942460595	8.3016666667	0.3662711086	0.225442466	0.5380050521	0.1284002239	0.0251183638	0.1969114912
633	chr9	57533801	57534140	57534025	16	Intergenic	RSINE1|SINE|B4	-2508	uc009pvm.1	Cyp1a2	cytochrome P450 1A2	14.23	13.44	7.91	5.53	6.33	2.37	0	1.58	633-Clock_n3R15	0	default	1	24	3.6966736064	3.0475850702	8.3016666667	0.4859552297	0.3717230585	0.5121349799	0.0500615455	0.0129790432	0.1017471833
634	chr10	127213171	127213440	127213265	12	promoter-TSS (uc007hkp.1)	promoter-TSS (NM_153133)	-156	uc007hkp.1	Rdh9	retinol dehydrogenase 9	14.23	11.07	9.49	7.12	5.53	2.37	0	0.79	634-Clock_n3R15	0	default	1	24	3.1233696324	4.0035303473	8.3016666667	0.4364661667	0.311236426	0.462585123	0.0757076871	0.0172997337	0.1356185616
635	chr19	47520651	47521150	47520820	12	intron (uc008huz.2, intron 1 of 14)	intron (NM_008018, intron 1 of 14)	18001	uc008huz.2	Sh3pxd2a	SH3 and PX domain-containing protein 2A isoform	8.7	12.65	14.23	4.74	4.74	4.74	0.79	2.37	635-Clock_n3R15	0	burg	1	23.6213017751	4.4947213723	5.6312401261	8.3	0.7245581617	0.6633488643	0.4724678991	0.0030208877	0.0022331007	0.0175060445
636	chr7	135074921	135075321	135075075	13	Intergenic	Intergenic	-1494	uc009jxi.2	Prss8	prostasin	5.53	10.28	19.77	4.74	5.53	3.95	1.58	0.79	636-Clock_n3R15	0	burg	1	22.8114285714	5.8806829361	7.7703928852	8.3	0.5831460695	0.4905118628	0.6643337514	0.0194951936	0.0068829791	0.0539580404
637	chr11	78241121	78241470	78241355	19	Intergenic	L1MB2|LINE|L1	-5608	uc007kjf.1	Slc13a2	solute carrier family 13 member 2	12.65	2.37	11.86	16.6	3.16	3.16	0.79	1.58	637-Clock_n3R15	1	default	1	24	3.6519165448	10.0375109202	8.3	0.2188699174	0.0452854546	0.6752905466	0.3290448787	0.0510197303	0.3999612107
638	chr14	79250311	79250831	79250615	8	intron (uc007usq.2, intron 1 of 44)	intron (NM_027906, intron 1 of 44)	1586	uc007usq.2	1300010F03Rik	hypothetical protein LOC219189 isoform 1	12.65	10.28	14.23	5.53	1.58	5.53	0.79	3.95	638-Clock_n3R15	1	yule-walker	1	23.6213017751	4.62256404	4.6681105929	8.3	0.6217136653	0.5376500354	0.5354605085	0.0125948482	0.0051402976	0.0402965606
639	chr19	42120171	42120410	42120290	12	promoter-TSS (uc008hnb.1)	promoter-TSS (NM_026152)	-51	uc008hnb.1	Hoga1	probable 4-hydroxy-2-oxoglutarate aldolase,	7.12	10.28	9.49	8.7	6.33	7.12	1.58	1.58	639-Clock_n3R15	1	yule-walker	1	22.5536723164	1.7435753475	7.490422672	8.1733333333	0.7780969703	0.7287851859	0.173502455	0.00114218	0.0013616653	0.0106745626
640	chr1	41616131	41616580	41616300	11	Intergenic	Intergenic	753909	uc007auq.1	Tmem182	transmembrane protein 182 precursor	8.7	7.91	10.28	11.07	6.33	4.74	0	3.16	640-Clock_n3R15	0	burg	1	24.0481927711	2.3976423548	8.7983464606	8.1716666667	0.652236558	0.5749557931	0.2660572758	0.0086253686	0.0040293855	0.0315877387
641	chr8	129114121	129114500	129114225	10	3' UTR (uc009nyw.2, exon 2 of 2)	3' UTR (NM_001164598, exon 2 of 2)	3026	uc009nyw.2	Irf2bp2	interferon regulatory factor 2 binding protein	9.49	6.33	11.86	5.53	9.49	6.33	1.58	1.58	641-Clock_n3R15	0	burg	1	26.091503268	0.6020716575	5.9268199661	8.1716666667	0.0352635404	-0.1791223395	0.2774487476	0.8508227876	0.1113916749	0.8732376452
642	chr15	89206551	89206870	89206715	10	exon (uc007xgl.2, exon 3 of 11)	exon (NM_138302, exon 3 of 11)	758	uc007xgl.2	Tymp	thymidine phosphorylase	10.28	7.91	10.28	8.7	3.16	8.7	2.37	1.58	642-Clock_n3R15	1	burg	1	22.4269662921	1.8501331938	5.373327797	8.1716666667	0.2920466771	0.1347237164	0.2940106572	0.2113590316	0.0362823406	0.2844297447
643	chr15	96287111	96287430	96287305	18	intron (uc007xkf.1, intron 1 of 14)	B3|SINE|B2	4004	uc007xkf.1	Scaf11	splicing factor, arginine/serine-rich 2,	6.33	11.07	18.19	9.49	2.37	1.58	0.79	2.37	643-Clock_n3R15	0	burg	1	23.0751445087	7.1461582719	7.9840481031	8.1716666667	0.8626261749	0.8320986582	0.6904588273	0.0001319982	0.0005274362	0.004134754
644	chr10	38891601	38891850	38891740	15	Intergenic	Intergenic	-8125	uc011xcu.1	Wisp3	WNT1 inducible signaling pathway protein 3	10.28	6.33	12.65	7.91	6.33	5.53	0	3.16	644-Clock_n3R15	0	burg	1	24.1939393939	1.8136689805	7.1511074473	8.1716666667	0.2776293279	0.1171025118	0.3093058584	0.2314304368	0.0387712213	0.3039409362
645	chr2	169854791	169855270	169854990	10	Intergenic	Intergenic	41141	uc012ckk.1	A630075F10Rik	Mus musculus 0 day neonate head cDNA, RIKEN full-length enriched library, clone:4831414D02 product:unclassifiable, full insert sequence.	7.12	10.28	8.7	9.49	8.7	4.74	0.79	3.95	645-Clock_n3R15	1	yule-walker	1	25.106918239	1.9833044855	8.2168274941	8.1716666667	0.6001756085	0.5113257437	0.221311507	0.0161588996	0.0060866151	0.0477150691
646	chr14	70606291	70606571	70606435	12	intron (uc007uno.1, intron 1 of 4)	intron (NM_011366, intron 1 of 20)	1047	uc007unl.1	Sorbs3	vinexin	10.28	6.33	13.44	7.12	4.74	7.12	0	0	646-Clock_n3R15	1	default	1	24	1.9592341155	5.8499241576	8.1716666667	0.2447447828	0.07691029	0.351778352	0.2827624937	0.04542759	0.3561224996
647	chr17	64967231	64967600	64967375	12	intron (uc008dfy.1, intron 1 of 21)	intron (NM_008549, intron 1 of 21)	16426	uc008dfy.1	Man2a1	alpha-mannosidase 2	8.7	11.86	10.28	6.33	5.53	6.33	0.79	3.95	647-Clock_n3R15	0	burg	1	22.1777777778	2.8234725125	5.8749038406	8.1716666667	0.7932705977	0.7473307305	0.2830074062	0.0008304436	0.0011556476	0.0090595186
648	chr9	119069741	119070100	119069850	9	Intergenic	Intergenic	-3709	uc009saj.1	Acaa1b	3-ketoacyl-CoA thiolase B, peroxisomal	11.86	5.53	11.07	7.91	9.49	3.16	0	3.16	648-Clock_n3R15	0	mle	1	26.7919463087	1.2750599076	6.3756084544	8.17	0.0878687035	-0.1148271402	0.3736205467	0.6610862245	0.0901430809	0.7066626093
649	chr3	83842971	83843480	83843085	11	intron (uc008ppp.1, intron 2 of 34)	intron (NM_172681, intron 2 of 34)	858	uc008ppp.1	D930015E06Rik	transmembrane protein 131-like precursor	10.28	9.49	15.02	4.74	3.16	6.33	0.79	1.58	649-Clock_n3R15	1	yule-walker	1	21.8142076503	4.0733994239	6.4505425857	8.17	0.5399381262	0.4377021542	0.482836859	0.0303859695	0.0091962814	0.072092812
650	chr4	41471911	41472180	41472020	18	exon (uc008sjb.1, exon 3 of 3)	intron (NM_027993, intron 1 of 5)	4116	uc008sjb.1	AK086793	Mus musculus 0 day neonate lung cDNA, RIKEN full-length enriched library, clone:E030001J20 product:unclassifiable, full insert sequence.	7.91	10.28	16.6	7.91	3.16	3.16	0	0.79	650-Clock_n3R15	0	burg	1	23.4823529412	5.4985197935	7.2778313432	8.17	0.7828303583	0.7345704379	0.5605741528	0.0010365637	0.0012851131	0.0100744435
651	chr11	95527961	95528500	95528135	8	promoter-TSS (uc007lan.2)	promoter-TSS (NM_008831)	-41	uc007lan.2	Phb	prohibitin	12.65	7.91	8.7	3.95	10.28	5.53	2.37	3.16	651-Clock_n3R15	0	mle	1	25.106918239	1.8132490568	23.9342659167	8.17	0.2083102774	0.0323792279	0.3520931461	0.3495405234	0.0534476793	0.4189947377
652	chr3	116487231	116487550	116487385	16	exon (uc008rcq.1, exon 12 of 34)	exon (NM_001081326, exon 12 of 34)	23694	uc008rcq.1	Agl	glycogen debranching enzyme	7.91	2.37	17.4	13.44	3.95	3.95	0.79	3.95	652-Clock_n3R15	0	burg	1	23.0751445087	5.4546597151	10.144991664	8.17	0.5135509468	0.4054511572	0.674658473	0.0390542346	0.0108583629	0.0851224409
653	chr11	46112511	46112771	46112655	16	intron (uc007ioc.1, intron 1 of 30)	intron (NM_133769, intron 1 of 30)	13211	uc007ioc.1	Cyfip2	cytoplasmic FMR1-interacting protein 2	11.86	6.33	16.6	9.49	2.37	2.37	0	1.58	653-Clock_n3R15	1	default	1	24	4.6573635009	7.1544493773	8.17	0.4593790874	0.3392411069	0.6262896084	0.062808408	0.015172952	0.1189459884
654	chr11	72421881	72422101	72421980	15	intron (uc007jzd.1, intron 1 of 5)	CpG	1228	uc007jzd.1	Ube2g1	ubiquitin-conjugating enzyme E2 G1	7.91	11.86	8.7	12.65	2.37	5.53	1.58	0.79	654-Clock_n3R15	0	burg	1	24.0481927711	3.3061644818	6.8844511864	8.17	0.4684629421	0.3503435959	0.4317193513	0.0581970495	0.0143527222	0.1125159247
655	chr9	21510971	21511261	21511150	14	Intergenic	Intergenic	-16922	uc009omi.1	Ldlr	low-density lipoprotein receptor	4.74	11.07	13.44	9.49	3.95	6.33	0	4.74	655-Clock_n3R15	0	burg	1	22.1777777778	4.3175753919	8.3706032258	8.17	0.8038222439	0.7602271869	0.4207043857	0.0006560304	0.0010334423	0.0081015092
656	chr14	26342851	26343190	26343055	14	intron (uc007srn.1, intron 2 of 23)	intron (NM_183208, intron 2 of 23)	-10905	uc011zhn.1	Mir3075	Mus musculus microRNA 3075 (Mir3075), microRNA.	8.7	11.07	13.44	6.33	4.74	4.74	0	0	656-Clock_n3R15	1	yule-walker	1	23.3450292398	3.8384784698	6.3011643785	8.17	0.7743660092	0.7242251223	0.3978099988	0.0012311766	0.0014185852	0.0111207775
