ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Per2_CT0/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per2_CT4/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per2_CT8/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per2_CT12/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per2_CT16/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per2_CT20/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per2_KO/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per_Input/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
700	chr5	104277631	104277920	104277785	22	intron (uc008yjt.1, intron 18 of 19)	intron (NM_001080798, intron 18 of 19)	62473	uc008yjv.1	Klhl8	kelch-like protein 8	13.1	5.04	0	14.11	25.19	21.16	2.02	13.1	700-Per2_n3R16	0	mle	1	23.3450292398	10.7083552189	18.2644826894	13.1	0.8421748392	0.8071025812	0.6601511829	0.0002464865	2.9775126187E-005	0.0053769413
701	chr7	77445381	77445920	77445625	22	intron (uc009hnh.1, intron 1 of 3)	Intergenic	37079	uc009hnh.1	AK049871	Mus musculus adult male hippocampus cDNA, RIKEN full-length enriched library, clone:C630005I06 product:unclassifiable, full insert sequence.	8.06	1.01	1.01	18.14	30.23	20.15	2.02	10.08	701-Per2_n3R16	1	burg	1	22.5536723164	13.0470125011	17.0766414284	13.1	0.810747364	0.7686912226	0.8164007044	0.0005580701	2.9775126187E-005	0.0053769413
702	chr9	34945671	34946080	34945835	22	intron (uc009osp.1, intron 2 of 5)	intron (NM_027030, intron 2 of 5)	-21480	uc009osm.1	St3gal4	CMP-N-acetylneuraminate-beta-galactosamide-	5.04	9.07	5.04	16.12	30.23	13.1	7.05	23.18	702-Per2_n3R16	0	mle	1	23.0751445087	8.9499836395	15.9407163182	13.1	0.570129743	0.4746030193	0.6601511829	0.0223881541	0.0001791649	0.0323544936
703	chr13	112774181	112774670	112774415	21	Intergenic	Intergenic	116281	uc007rwb.1	AK134426	Mus musculus 13 days embryo male testis cDNA, RIKEN full-length enriched library, clone:6030482L16 product:unclassifiable, full insert sequence.	10.08	3.02	4.03	10.08	22.17	29.22	4.03	17.13	703-Per2_n3R16	0	burg	1	24.7950310559	11.117594172	18.6713214173	13.1	0.8166369936	0.7758896588	0.7270175199	0.000484064	2.9775126187E-005	0.0053769413
704	chr15	100909351	100909720	100909535	21	Intergenic	Intergenic	-36651	uc007xsk.1	Ankrd33	ankyrin repeat domain-containing protein 33	5.04	6.05	6.05	11.08	25.19	25.19	3.02	14.11	704-Per2_n3R16	1	burg	1	26.972972973	8.9123871343	17.0455183157	13.1	0.6896211571	0.6206480809	0.6689633729	0.0051702851	0.000063374	0.0114443896
705	chr1	136254141	136254510	136254330	16	intron (uc007crq.1, intron 3 of 7)	MTD|LTR|MaLR	4251	uc007crq.1	Tmem183a	transmembrane protein 183 isoform a	14.11	5.04	3.02	10.08	25.19	21.16	2.02	21.16	705-Per2_n3R16	0	mle	1	23.7619047619	9.9962417723	18.6724164788	13.1	0.852249526	0.8194160874	0.613734603	0.0001831808	2.9775126187E-005	0.0053769413
706	chr9	108667241	108667610	108667465	15	Intergenic	Intergenic	-18702	uc009rqv.1	Ip6k2	SubName: Full=Putative uncharacterized protein;	10.08	5.04	7.05	18.14	18.14	20.15	7.05	21.16	706-Per2_n3R16	1	default	1	24	6.6456010721	16.8430803631	13.1	0.7540477149	0.6993916516	0.4528892543	0.0018148004	3.69808139991E-005	0.0066781805
707	chr16	6366751	6367210	6366855	13	Intergenic	intron (NM_021477, intron 2 of 16)	391300	uc007ycd.1	AK018984	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:1700031M04 product:unclassifiable, full insert sequence.	11.08	7.05	6.05	10.08	25.19	19.15	9.07	39.3	707-Per2_n3R16	1	burg	1	23.2093023256	7.916574375	18.1707647455	13.1	0.7429306233	0.6858040952	0.5235888194	0.0022142495	3.96141919085E-005	0.0071537291
708	chr5	142916361	142916761	142916550	23	intron (uc009aio.1, intron 2 of 8)	intron (NM_199068, intron 2 of 8)	-23324	uc009aiq.1	C330006K01Rik	hypothetical protein LOC231855	9.07	3.02	3.02	16.12	36.28	11.08	5.04	5.04	708-Per2_n3R16	0	burg	1	22.9425287356	12.5875700366	16.3932137491	13.0983333333	0.6289160577	0.5464529594	0.864857109	0.0115511368	0.0001077307	0.0194545462
709	chr10	84273931	84274340	84274120	15	intron (uc007gkv.1, intron 3 of 17)	L2a|LINE|L2	55342	uc007gkv.1	Rfx4	transcription factor RFX4 isoform 1	11.08	8.06	11.08	13.1	13.1	22.17	8.06	24.18	709-Per2_n3R16	0	yule-walker	1	27.7222222222	4.0733859384	18.1654810775	13.0983333333	0.5113875627	0.402807021	0.3354391675	0.0398419264	0.0002879245	0.0519948547
710	chr4	99602751	99603050	99602840	14	intron (uc008tva.2, intron 1 of 10)	intron (NM_028132, intron 1 of 10)	844	uc008tva.2	Pgm2	phosphoglucomutase-1	7.05	4.03	8.06	16.12	25.19	18.14	5.04	13.1	710-Per2_n3R16	0	mle	1	23.7619047619	8.5334708804	16.1914795047	13.0983333333	0.8036647184	0.7600346558	0.5618529648	0.0006584042	2.9775126187E-005	0.0053769413
711	chr3	138105581	138105941	138105745	26	promoter-TSS (uc008rnk.1)	promoter-TSS (NM_007410)	-367	uc008rnk.1	Adh5	alcohol dehydrogenase class-3	2.02	5.04	3.02	19.15	34.26	14.11	4.03	2.02	711-Per2_n3R16	0	mle	1	23.4823529412	12.4950740799	15.6375462171	12.9333333333	0.6712888135	0.5982418832	0.87848682	0.0066936836	7.50264987906E-005	0.0135486607
712	chr10	76621821	76622120	76621960	25	Intergenic	intron (NM_009929, intron 2 of 41)	-45520	uc007fvg.1	Col18a1	collagen alpha-1(XVIII) chain isoform 1	6.05	1.01	2.02	24.18	27.21	17.13	1.01	5.04	712-Per2_n3R16	0	burg	1	23.3450292398	12.4533204247	15.9135965019	12.9333333333	0.7879902564	0.74087698	0.8088245658	0.0009302532	3.06268158647E-005	0.0055307437
713	chr1	91412411	91412680	91412575	24	intron (uc007byw.1, intron 1 of 17)	intron (NM_178119, intron 1 of 17)	61159	uc007byw.1	Agap1	arf-GAP with GTPase, ANK repeat and PH	8.06	2.02	5.04	15.12	26.2	21.16	6.05	10.08	713-Per2_n3R16	1	burg	1	23.9041916168	10.219572058	17.0070124164	12.9333333333	0.8277945438	0.7895266647	0.6722943949	0.0003649313	2.9775126187E-005	0.0053769413
714	chr4	140410311	140410551	140410415	23	Intergenic	Intergenic	-8738	uc008vnh.1	Padi1	protein-arginine deiminase type-1	6.05	5.04	2.02	10.08	29.22	25.19	3.02	6.05	714-Per2_n3R16	0	default	1	24	11.5367483666	17.9076828737	12.9333333333	0.7343508549	0.6753177116	0.8062575359	0.0025667756	4.21813152558E-005	0.0076173131
715	chr9	56265951	56266231	56266100	22	promoter-TSS (uc009psz.2)	promoter-TSS (NM_172924)	-234	uc009psz.2	C230081A13Rik	tyrosine-protein kinase SgK269	9.07	2.02	3.02	13.1	27.21	23.18	2.02	11.08	715-Per2_n3R16	1	burg	1	23.6213017751	11.3325193087	17.6741055667	12.9333333333	0.8343775482	0.7975725589	0.7342956289	0.000306222	2.9775126187E-005	0.0053769413
716	chr11	94899981	94900340	94900155	13	intron (uc007kzu.2, intron 2 of 10)	intron (NM_133667, intron 2 of 10)	2525	uc007kzu.2	Pdk2	pyruvate dehydrogenase kinase, isoenzyme 2	8.06	6.05	6.05	15.12	22.17	20.15	3.02	15.12	716-Per2_n3R16	0	default	1	24	7.5307304316	17.0437449009	12.9333333333	0.8021432725	0.7581751108	0.5096525505	0.0006816771	2.9775126187E-005	0.0053769413
717	chr15	96834961	96835380	96835185	13	intron (uc007xkr.1, intron 13 of 15)	intron (NM_027052, intron 13 of 15)	51217	uc007xkr.1	Slc38a4	sodium-coupled neutral amino acid transporter 4	15.12	7.05	4.03	15.12	22.17	14.11	7.05	27.21	717-Per2_n3R16	0	burg	1	22.3016759777	7.1929536913	17.8531261981	12.9333333333	0.7309517572	0.6711632588	0.4575884132	0.0027179141	4.35948633659E-005	0.0078725786
718	chr4	151236601	151236860	151236715	34	promoter-TSS (uc008vyn.2)	promoter-TSS (NM_001081557)	-853	uc008vyn.2	Camta1	calmodulin-binding transcription activator 1	6.05	4.03	4.03	16.12	35.27	12.09	2.02	4.03	718-Per2_n3R16	0	burg	1	23.4823529412	11.8412097978	15.9736752115	12.9316666667	0.6293910175	0.5470334659	0.8445763707	0.011484755	0.0001072337	0.0193648059
719	chr10	90776151	90776460	90776315	30	Intergenic	MIRb|SINE|MIR	-141978	uc007gtv.1	Tmpo	lamina-associated polypeptide 2 isoform alpha	3.02	6.05	2.02	16.12	33.25	17.13	7.05	11.08	719-Per2_n3R16	1	burg	1	23.6213017751	11.5996937264	16.2993215955	12.9316666667	0.6506289554	0.5729909454	0.8384042173	0.0088062516	8.9540159551E-005	0.0161696102
720	chr4	154440541	154440901	154440705	28	promoter-TSS (uc008wcs.1)	promoter-TSS (NM_001042407)	-418	uc008wcs.1	Pex10	peroxisome biogenesis factor 10	7.05	3.02	4.03	14.11	34.26	15.12	0	9.07	720-Per2_n3R16	0	burg	1	23.4823529412	11.7438582484	16.5161576599	12.9316666667	0.6714981587	0.5984977495	0.8190789422	0.0066745215	7.49348330022E-005	0.0135321072
721	chr18	39752571	39752950	39752795	27	Intergenic	Intergenic	-105861	uc008esx.1	Nr3c1	glucocorticoid receptor	4.03	2.02	3.02	26.2	33.25	9.07	2.02	8.06	721-Per2_n3R16	0	burg	1	22.4269662921	14.6948301183	15.3491016778	12.9316666667	0.733653076	0.6744648706	0.9472691794	0.002597255	4.23734860726E-005	0.0076520162
722	chr17	74605901	74606140	74606010	26	intron (uc012axb.1, intron 7 of 8)	intron (NM_133771, intron 7 of 8)	88183	uc012axb.1	Memo1	protein MEMO1	7.05	2.02	7.05	21.16	27.21	13.1	1.01	4.03	722-Per2_n3R16	0	burg	1	22.4269662921	10.87650463	15.6849343146	12.9316666667	0.8091394882	0.7667260411	0.6769885345	0.0005797255	2.9775126187E-005	0.0053769413
723	chr11	109594111	109594391	109594255	18	Intergenic	Intergenic	-10681	uc007mcw.1	Fam20a	family with sequence similarity 20, member A	9.07	4.03	5.04	16.12	22.17	21.16	2.02	12.09	723-Per2_n3R16	1	burg	1	23.9041916168	8.5761228581	17.2014504715	12.9316666667	0.8319286427	0.7945794522	0.5644247659	0.000327131	2.9775126187E-005	0.0053769413
724	chr15	77576931	77577430	77577045	18	Intergenic	RLTR16|LTR|ERVK	8479	uc007woa.2	Apol8	apolipoprotein L2	11.08	3.02	2.02	14.11	29.22	18.14	6.05	17.13	724-Per2_n3R16	0	burg	1	22.8114285714	11.2650578801	17.5219114542	12.9316666667	0.7919980236	0.7457753622	0.7161229339	0.0008536966	0.000030573	0.0055210198
725	chr2	143899761	143900240	143900065	17	TTS (uc008mqo.1)	TTS (NM_207275)	-5458	uc008mqp.1	AK085768	Mus musculus 16 days neonate heart cDNA, RIKEN full-length enriched library, clone:D830006B11 product:unclassifiable, full insert sequence.	8.06	2.02	11.08	9.07	20.15	27.21	2.02	24.18	725-Per2_n3R16	0	burg	1	25.2658227848	8.2363775817	18.0044428046	12.9316666667	0.6109905994	0.5245440659	0.6447586777	0.0142830328	0.000126303	0.0228084205
726	chr9	66643231	66643850	66643515	17	Intergenic	promoter-TSS (NM_177583)	8604	uc009qfh.1	BC050972	Mus musculus cDNA clone IMAGE:6742492.	5.04	5.04	4.03	14.11	29.22	20.15	1.01	2.02	726-Per2_n3R16	0	default	1	24	10.2502349376	16.7634693563	12.9316666667	0.7243949596	0.663149395	0.7216958287	0.0030289507	4.61933395421E-005	0.0083418245
727	chr16	23294321	23294770	23294505	17	intron (uc007yto.1, intron 2 of 7)	intron (NM_145933, intron 2 of 7)	-69142	uc007ytn.1	BC106179	SubName: Full=BC106179 protein; SubName: Full=Putative uncharacterized protein;	10.08	8.06	6.05	11.08	17.13	25.19	12.09	22.17	727-Per2_n3R16	0	burg	1	26.2631578947	7.2538801192	18.8596754788	12.9316666667	0.7403820902	0.6826892213	0.4997027915	0.0023147597	4.03782766352E-005	0.0072917113
728	chr4	40775851	40776290	40776145	15	intron (uc008shw.1, intron 1 of 5)	intron (NM_022305, intron 1 of 5)	24961	uc008shw.1	B4galt1	beta-1,4-galactosyltransferase 1	7.05	2.02	4.03	21.16	25.19	18.14	4.03	10.08	728-Per2_n3R16	0	burg	1	22.9425287356	10.7990449776	16.2699952299	12.9316666667	0.8146950797	0.7735162086	0.6902119857	0.0005075645	2.9775126187E-005	0.0053769413
729	chr14	70606161	70606531	70606405	15	intron (uc007uno.1, intron 1 of 4)	intron (NM_011366, intron 1 of 20)	1132	uc007unl.1	Sorbs3	vinexin	10.08	3.02	4.03	18.14	24.18	18.14	1.01	7.05	729-Per2_n3R16	0	default	1	24	9.2656090783	16.7243158548	12.9316666667	0.8104380516	0.7683131742	0.6042858708	0.0005621863	2.9775126187E-005	0.0053769413
730	chr16	31412241	31412890	31412545	14	Intergenic	Intergenic	-9818	uc007yxi.2	Bdh1	D-beta-hydroxybutyrate dehydrogenase,	4.03	6.05	9.07	20.15	25.19	13.1	2.02	11.08	730-Per2_n3R16	1	mle	1	23.3450292398	8.9881980443	14.7294893026	12.9316666667	0.7925012632	0.7463904327	0.5854523726	0.0008444415	3.04827223017E-005	0.0055047226
731	chr3	153607751	153608040	153607865	26	promoter-TSS (uc008ruj.1)	promoter-TSS (NM_007382)	-499	uc008ruj.1	Acadm	medium-chain specific acyl-CoA dehydrogenase,	5.04	3.02	0	13.1	28.21	28.21	5.04	7.05	731-Per2_n3R16	0	default	1	24	12.9599572687	17.7779050093	12.93	0.7771420828	0.7276181012	0.8900379958	0.0011644646	3.20855941218E-005	0.0057941772
732	chr19	60871251	60871670	60871425	14	Intergenic	RCHARR1|DNA|MER1_type	-4864	uc008ibz.1	AK087340	Mus musculus 10 days neonate cortex cDNA, RIKEN full-length enriched library, clone:A830012B05 product:unclassifiable, full insert sequence.	7.05	8.06	4.03	16.12	20.15	22.17	8.06	17.13	732-Per2_n3R16	1	yule-walker	1	24.6419753086	7.2635301786	17.2966844166	12.93	0.6995277545	0.6327561443	0.5331973363	0.0044680665	5.79179497352E-005	0.0104591133
733	chr18	38337011	38337600	38337215	13	Intergenic	Intergenic	32111	uc008eru.1	Pcdh1	protocadherin-1	11.08	4.03	4.03	14.11	24.18	20.15	3.02	8.06	733-Per2_n3R16	0	mle	1	23.3450292398	9.2526201971	17.7032057421	12.93	0.8512322345	0.818172731	0.5838372303	0.0001889252	2.9775126187E-005	0.0053769413
734	chr7	3228411	3228730	3228570	24	intron (uc009eul.2, intron 7 of 9)	intron (NM_001033431, intron 7 of 9)	9785	uc012ewd.1	LOC100303645	Mus musculus hypothetical LOC100303645 (LOC100303645), non-coding RNA.	6.05	0	6.05	18.14	32.25	14.11	3.02	16.12	734-Per2_n3R16	0	burg	1	22.9425287356	12.5736720384	15.9612012703	12.7666666667	0.7687643275	0.7173786225	0.8236920522	0.0013748229	0.000033618	0.0060709024
735	chr14	45984511	45984800	45984635	29	intron (uc007tgo.1, intron 4 of 10)	RMER17B|LTR|ERVK	13794	uc007tgo.1	Styx	serine/threonine/tyrosine-interacting protein	6.05	1.01	3.02	19.15	33.25	14.11	2.02	3.02	735-Per2_n3R16	0	burg	1	22.9425287356	13.2139618707	16.1390012561	12.765	0.754837948	0.700357492	0.8702640787	0.0017887087	3.68195153983E-005	0.0066490524
736	chr5	123585461	123585840	123585630	25	Intergenic	CpG	-3012	uc008zne.1	Rhof	rho-related GTP-binding protein RhoF precursor	13.1	1.01	6.05	11.08	32.25	13.1	8.06	5.04	736-Per2_n3R16	0	burg	1	22.6818181818	10.8808981202	17.2110302742	12.765	0.6308711083	0.5488424658	0.7608723966	0.0112797941	0.0001059484	0.0191326843
737	chr14	77282451	77282790	77282655	22	Intergenic	Intergenic	153804	uc007urq.1	9030625A04Rik	hypothetical protein LOC210808	8.06	3.02	1.01	15.12	31.24	18.14	2.02	18.14	737-Per2_n3R16	0	burg	1	23.2093023256	12.0539992971	17.1010311255	12.765	0.760546222	0.7073342714	0.8034030886	0.0016087836	3.52345387264E-005	0.0063628294
738	chr18	35658461	35658851	35658565	21	promoter-TSS (uc008emc.2)	promoter-TSS (NM_030749)	-77	uc008emc.2	Sil1	nucleotide exchange factor SIL1 precursor	3.02	1.01	4.03	19.15	32.25	17.13	1.01	8.06	738-Per2_n3R16	0	mle	1	23.0751445087	13.1540471036	16.0167940159	12.765	0.7788735254	0.7297343088	0.8752351176	0.0011243029	3.17276894156E-005	0.005729545
739	chr4	133466891	133467220	133467005	20	Intergenic	CpG	-23341	uc008vdn.2	Rps6ka1	ribosomal protein S6 kinase alpha-1	13.1	2.02	2.02	16.12	25.19	18.14	1.01	5.04	739-Per2_n3R16	0	mle	1	23.2093023256	10.4433949342	17.5387848831	12.765	0.8265306092	0.7879818557	0.659748822	0.0003771402	2.9775126187E-005	0.0053769413
740	chr18	46794901	46795380	46795060	17	Intergenic	Intergenic	37782	uc008evs.2	Eif1a	eukaryotic translation initiation factor 1A	7.05	5.04	8.06	15.12	19.15	22.17	10.08	25.19	740-Per2_n3R16	1	burg	1	26.972972973	6.6684595755	16.3999738312	12.765	0.7443922798	0.6875905642	0.5049103812	0.0021581561	3.92617609916E-005	0.0070900853
741	chr5	64329841	64330200	64329995	15	intron (uc008xmh.1, intron 1 of 6)	intron (NM_145923, intron 1 of 6)	30116	uc008xmh.1	Rell1	RELT-like protein 1 precursor	7.05	4.03	6.05	22.17	18.14	19.15	8.06	9.07	741-Per2_n3R16	1	burg	1	23.9041916168	7.7872825223	15.7377750288	12.765	0.689229958	0.6201699487	0.5650619221	0.0051996745	6.35090752143E-005	0.0114687867
742	chr6	116585361	116585731	116585465	14	3' UTR (uc009dkm.2, exon 11 of 11)	3' UTR (NM_178045, exon 11 of 11)	-6551	uc009dkl.1	Zfp422	zinc finger protein 22	12.09	6.05	8.06	8.06	23.18	19.15	6.05	20.15	742-Per2_n3R16	1	default	1	24	7.158768229	18.5045660779	12.765	0.7225330302	0.6608737036	0.4944908268	0.0031221288	4.70399357004E-005	0.0084947071
743	chr1	36131821	36132440	36132140	13	intron (uc007apn.2, intron 1 of 1)	intron (NM_015818, intron 1 of 1)	6885	uc007apn.2	Hs6st1	heparan-sulfate 6-O-sulfotransferase 1	11.08	6.05	6.05	10.08	24.18	19.15	4.03	27.21	743-Per2_n3R16	0	burg	1	23.7619047619	7.8553225332	18.1119359552	12.765	0.776041377	0.7262727941	0.5267803095	0.0011905703	3.22767381332E-005	0.0058286949
744	chr9	71823851	71824290	71824050	24	intron (uc009qpf.2, intron 5 of 20)	intron (NM_011544, intron 5 of 20)	135556	uc009qpf.2	Tcf12	transcription factor 12	7.05	2.02	2.02	14.11	20.15	31.24	0	1.01	744-Per2_n3R16	0	burg	1	26.4370860927	11.3691407815	17.9537697872	12.765	0.7388572688	0.6808255508	0.8224026046	0.0023765707	4.08403309136E-005	0.0073751514
745	chr4	101319691	101320121	101319985	21	promoter-TSS (uc008tvu.1)	promoter-TSS (NM_175036)	-482	uc008tvu.1	Leprot	leptin receptor gene-related protein	12.09	4.03	4.03	10.08	30.23	16.12	5.04	20.15	745-Per2_n3R16	0	burg	1	23.0751445087	10.1687925465	17.7359693879	12.7633333333	0.6857198783	0.6158798512	0.6982539098	0.005469229	6.57683318962E-005	0.0118767746
746	chr6	28452631	28453060	28452845	20	intron (uc009bct.1, intron 1 of 23)	MER82|DNA|MER2_type	22497	uc009bct.1	Snd1	staphylococcal nuclease domain-containing	4.03	3.02	2.02	16.12	28.21	23.18	2.02	14.11	746-Per2_n3R16	0	default	1	24	11.6432594725	16.8663703724	12.7633333333	0.7749777231	0.7249727727	0.8123420852	0.0012162275	3.23314456218E-005	0.0058385743
747	chr15	96573121	96573470	96573235	14	Intergenic	Intergenic	-43166	uc007xkm.1	Slc38a2	sodium-coupled neutral amino acid transporter 2	8.06	5.04	7.05	21.16	23.18	12.09	3.02	20.15	747-Per2_n3R16	0	burg	1	21.8142076503	8.5893151574	15.6976818241	12.7633333333	0.7664021976	0.7144915749	0.5483320157	0.001439161	3.40914850818E-005	0.006156411
748	chr9	119073891	119074340	119074115	11	Intergenic	Intergenic	-7904	uc009saj.1	Acaa1b	3-ketoacyl-CoA thiolase B, peroxisomal	11.08	7.05	5.04	18.14	16.12	19.15	9.07	30.23	748-Per2_n3R16	1	default	1	24	5.7928249962	17.3712220981	12.7633333333	0.6565070141	0.5801752395	0.4244521726	0.0081588778	0.00008498	0.0153461123
749	chr3	82811411	82811701	82811585	21	promoter-TSS (uc008ppe.1)	promoter-TSS (NM_133862)	-262	uc008ppe.1	Fgg	fibrinogen gamma chain precursor	11.08	5.04	7.05	14.11	26.2	13.1	4.03	10.08	749-Per2_n3R16	0	burg	1	22.8114285714	7.9304735903	16.7191099	12.7633333333	0.6992815917	0.6324552787	0.5329264584	0.0044845623	5.7997667354E-005	0.0104735091
750	chr17	31581221	31581540	31581430	18	intron (uc008bva.2, intron 6 of 18)	intron (NM_008804, intron 6 of 18)	58201	uc008bva.2	Pde9a	high affinity cGMP-specific 3',5'-cyclic	10.08	4.03	4.03	12.09	20.15	26.2	6.05	7.05	750-Per2_n3R16	0	burg	1	24.6419753086	9.4891171653	18.4739835827	12.7633333333	0.8247424968	0.7857963849	0.6359532218	0.0003949524	2.9775126187E-005	0.0053769413
751	chr7	16566881	16567320	16567145	14	intron (uc009fgu.1, intron 6 of 13)	intron (NM_001081418, intron 6 of 13)	-14216	uc009fgt.1	Ehd2	EH domain-containing protein 2	14.11	5.04	3.02	10.08	24.18	20.15	5.04	17.13	751-Per2_n3R16	0	mle	1	23.7619047619	9.5098095332	18.6824233785	12.7633333333	0.8534933304	0.8209362927	0.5971194793	0.000176343	2.9775126187E-005	0.0053769413
752	chr18	46788871	46789320	46789160	15	Intergenic	Intergenic	31737	uc008evs.2	Eif1a	eukaryotic translation initiation factor 1A	9.07	10.08	7.05	11.08	28.21	11.08	9.07	36.28	752-Per2_n3R16	0	burg	1	23.9041916168	6.1536958591	16.3924502791	12.7616666667	0.4018553437	0.268934309	0.5520047033	0.098998365	0.0006286631	0.1135271353
753	chr15	103102971	103103410	103103185	13	promoter-TSS (uc007xxv.1)	promoter-TSS (NM_019817)	-159	uc007xxv.1	Copz1	coatomer subunit zeta-1	11.08	4.03	8.06	12.09	20.15	21.16	7.05	17.13	753-Per2_n3R16	0	default	1	24	7.1910911805	17.9356246412	12.7616666667	0.8173495233	0.7767605285	0.4817115579	0.0004756567	2.9775126187E-005	0.0053769413
754	chr18	39461181	39461460	39461290	27	intron (uc008esr.1, intron 19 of 22)	intron (NM_175164, intron 19 of 22)	87759	uc008esw.1	AK158482	Mus musculus adult inner ear cDNA, RIKEN full-length enriched library, clone:F930120G13 product:hypothetical protein, full insert sequence.	3.02	2.02	2.02	22.17	31.24	15.12	1.01	7.05	754-Per2_n3R16	0	burg	1	22.8114285714	13.3654449404	15.8699460165	12.5983333333	0.7646988264	0.7124096767	0.8939502157	0.0014869913	3.45036123316E-005	0.006230835
755	chr1	184436381	184436790	184436615	19	intron (uc007dye.2, intron 2 of 20)	MIR3|SINE|MIR	11029	uc007dye.2	Capn2	calpain-2 catalytic subunit	15.12	6.05	0	14.11	15.12	25.19	6.05	15.12	755-Per2_n3R16	0	mle	1	24.1939393939	9.5289784646	19.5111079516	12.5983333333	0.7856470304	0.7380130371	0.627645781	0.0009774235	3.08724447519E-005	0.0055751006
756	chr14	9005381	9005970	9005825	12	promoter-TSS (uc007sev.1)	promoter-TSS (NM_024221)	-169	uc007sev.1	Pdhb	pyruvate dehydrogenase E1 component subunit	6.05	1.01	10.08	10.08	26.2	22.17	10.08	16.12	756-Per2_n3R16	1	mle	1	24.490797546	9.1391056364	16.8870513828	12.5983333333	0.6711426151	0.5980631962	0.6998839979	0.0067070909	7.5113398777E-005	0.0135643535
757	chr3	27803841	27804291	27804145	20	Intergenic	Intergenic	-8776	uc008ots.2	Tmem212	transmembrane protein 212	6.05	6.05	6.05	12.09	14.11	31.24	0	9.07	757-Per2_n3R16	1	burg	1	27.156462585	8.4165774443	18.3192587595	12.5983333333	0.5402992434	0.4381435197	0.7089926962	0.0302787877	0.0002292676	0.0414022936
758	chr8	41977471	41977681	41977575	24	intron (uc009lng.1, intron 1 of 11)	intron (NM_001044740, intron 1 of 11)	29855	uc009lng.1	Slc7a2	low affinity cationic amino acid transporter 2	9.07	9.07	3.02	10.08	17.13	27.21	1.01	10.08	758-Per2_n3R16	0	burg	1	25.5897435897	8.6321703042	19.2978997601	12.5966666667	0.7162625763	0.6532098155	0.6123728716	0.0034524293	4.92765144241E-005	0.0088985996
759	chr6	124442841	124443141	124442975	17	promoter-TSS (uc009dqy.2)	promoter-TSS (NM_181344)	-140	uc009dqy.2	C1rl	complement C1r subcomponent-like protein	11.08	5.04	6.05	12.09	19.15	22.17	1.01	22.17	759-Per2_n3R16	1	default	1	24	7.5041970589	18.3692756894	12.5966666667	0.8471235288	0.8131509796	0.4990536945	0.0002135664	2.9775126187E-005	0.0053769413
760	chr17	14339281	14339670	14339505	15	intron (uc008amv.2, intron 1 of 3)	intron (NM_172826, intron 1 of 3)	1363	uc008amv.2	Dact2	dapper homolog 2	9.07	5.04	6.05	11.08	22.17	22.17	4.03	13.1	760-Per2_n3R16	1	burg	1	24.490797546	8.0868228272	17.9532620071	12.5966666667	0.8066344633	0.763664344	0.559467394	0.0006147603	2.9775126187E-005	0.0053769413
761	chr7	88834071	88834680	88834395	13	intron (uc009ich.2, intron 1 of 8)	intron (NM_011983, intron 1 of 8)	17436	uc009ich.2	Homer2	homer protein homolog 2 isoform 1	7.05	4.03	5.04	18.14	23.18	18.14	4.03	22.17	761-Per2_n3R16	0	mle	1	23.3450292398	8.842236401	16.4094529169	12.5966666667	0.8128428539	0.771252377	0.5929388613	0.0005307975	2.9775126187E-005	0.0053769413
762	chr13	113166031	113166360	113166165	30	intron (uc007rwd.2, intron 9 of 10)	intron (NM_029898, intron 9 of 10)	87536	uc007rwd.2	Ankrd55	ankyrin repeat domain-containing protein 55	3.02	1.01	9.07	14.11	33.25	15.12	1.01	2.02	762-Per2_n3R16	1	yule-walker	1	23.2093023256	11.662767945	15.7727395416	12.5966666667	0.6748842567	0.6026363137	0.8411543338	0.006370463	7.26207185412E-005	0.0131142129
763	chr11	54918941	54919420	54919085	28	intron (uc007iyw.1, intron 2 of 3)	intron (NM_010299, intron 2 of 3)	7561	uc007iyw.1	Gm2a	ganglioside GM2 activator precursor	4.03	2.02	4.03	9.07	31.24	25.19	1.01	17.13	763-Per2_n3R16	0	burg	1	24.6419753086	12.14115727	17.3847370445	12.5966666667	0.7067220135	0.6415491276	0.9035405157	0.0040064303	5.41246672481E-005	0.0097741033
