ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Cry2_CT0/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT4/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT8/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT12/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT16/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT20/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_KO/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry_Input/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
334	chr11	86775391	86775870	86775665	13	intron (uc007ktd.1, intron 2 of 4)	intron (NM_001005341, intron 2 of 4)	31634	uc007ktd.1	Ypel2	protein yippee-like 2	14.09	5.28	16.73	17.61	19.37	12.33	7.93	19.37	334-Cry2_n3R17	0	burg	1	22.4269662921	4.9842465867	14.7274868109	14.235	0.5757907504	0.4815220282	0.3242473369	0.0210916522	0.0079748798	0.0528598424
335	chr9	95481341	95481840	95481565	11	Intergenic	Intergenic	21354	uc009rbf.1	Paqr9	progestin and adipoQ receptor family member 9	11.45	6.16	15.85	20.25	17.61	14.09	7.04	22.01	335-Cry2_n3R17	0	burg	1	23.0751445087	5.3613216404	14.0385599251	14.235	0.7448117802	0.688103287	0.3182769455	0.0021422631	0.0021013183	0.0139281541
336	chr1	195116071	195116630	195116405	21	intron (uc007eej.1, intron 1 of 1)	Intergenic	732	uc007eej.1	AK076929	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930558F06 product:unclassifiable, full insert sequence.	13.21	7.93	15.85	7.93	26.42	13.21	6.16	17.61	336-Cry2_n3R17	1	default	1	24	4.2472317166	16.6891237632	14.0916666667	0.240882755	0.0721900339	0.4418100353	0.2893275961	0.055066815	0.3649990013
337	chr7	52403141	52403580	52403345	18	exon (uc009gtr.1, exon 4 of 17)	exon (NM_145954, exon 4 of 17)	-6408	uc009gtw.1	Pih1d1	PIH1 domain-containing protein 1	6.16	5.28	8.81	23.78	28.18	12.33	0.88	9.69	337-Cry2_n3R17	0	mle	1	23.2093023256	10.6617061183	14.8040858387	14.09	0.7922000887	0.7460223306	0.624059688	0.000849971	0.0015366799	0.010185565
338	chr17	46188321	46188620	46188505	24	Intergenic	Intergenic	-19144	uc008crn.2	Vegfa	vascular endothelial growth factor A isoform 1	7.04	7.93	10.57	19.37	27.3	12.33	4.4	11.45	338-Cry2_n3R17	0	burg	1	23.2093023256	8.2848609033	14.8689833674	14.09	0.7263962021	0.6655953581	0.5064449085	0.0029312276	0.0024206505	0.0160447815
339	chr5	93028051	93028480	93028225	30	Intergenic	Intergenic	-3812	uc008ydp.1	Stbd1	starch-binding domain-containing protein 1	6.16	5.28	7.04	23.78	32.58	9.69	2.64	4.4	339-Cry2_n3R17	1	yule-walker	1	22.6818181818	12.2364771578	15.1304650402	14.0883333333	0.7138420493	0.6502513936	0.7361375002	0.0035869571	0.0027205928	0.018032887
340	chr4	141420831	141421310	141421165	22	intron (uc008vpl.1, intron 1 of 3)	MTE2a|LTR|MaLR	9765	uc008vpl.1	Efhd2	EF-hand domain-containing protein D2	7.04	6.16	11.45	20.25	28.18	11.45	4.4	21.13	340-Cry2_n3R17	0	burg	1	22.9425287356	9.3001998235	14.8070716681	14.0883333333	0.7572815411	0.7033441057	0.5521006243	0.0017098682	0.0019376128	0.0128430663
341	chr2	30814241	30814610	30814415	19	3' UTR (uc008jda.1, exon 5 of 5)	3' UTR (NM_133673, exon 5 of 5)	5904	uc008jda.1	Tor1b	torsin-1B precursor	5.28	7.93	9.69	22.01	22.89	16.73	6.16	14.09	341-Cry2_n3R17	0	default	1	24	7.8620862929	14.6105366468	14.0883333333	0.7848938789	0.7370925187	0.486669045	0.000992973	0.0015922234	0.0105537239
342	chr11	119081161	119081530	119081345	18	intron (uc007mqa.2, intron 1 of 11)	intron (NM_172443, intron 1 of 11)	8468	uc007mqa.2	Tbc1d16	TBC1 domain family, member 16	8.81	3.52	7.04	23.78	22.89	18.49	2.64	7.04	342-Cry2_n3R17	0	burg	1	23.4823529412	9.3778897521	15.7254556458	14.0883333333	0.7866218159	0.7392044417	0.5648818629	0.00095758	0.0015870208	0.0105192395
343	chr8	73053681	73054000	73053825	14	intron (uc009maq.2, intron 2 of 8)	intron (NM_001199631, intron 2 of 8)	2198	uc009maq.2	Fkbp8	peptidyl-prolyl cis-trans isomerase FKBP8	14.09	7.04	18.49	13.21	17.61	14.09	0.88	21.13	343-Cry2_n3R17	1	default	1	24	2.4904151549	14.3946369095	14.0883333333	0.2332085633	0.0628104663	0.2627681523	0.302724551	0.0570471407	0.3781251804
344	chr7	133419131	133419660	133419450	13	intron (uc009jqw.1, intron 1 of 3)	intron (NM_145587, intron 1 of 3)	3262	uc009jqw.1	Sbk1	serine/threonine-protein kinase SBK1	9.69	5.28	12.33	22.89	21.13	13.21	4.4	27.3	344-Cry2_n3R17	1	mle	1	23.4823529412	7.6115728522	14.3354269082	14.0883333333	0.8237475171	0.7845802987	0.4374102652	0.0004051432	0.001452221	0.0096257468
345	chr17	71200971	71201470	71201210	19	promoter-TSS (uc008dlp.2)	promoter-TSS (NM_009372)	-670	uc008dlp.2	Tgif1	homeobox protein TGIF1 isoform b	7.93	5.28	4.4	18.49	27.3	21.13	6.16	2.64	345-Cry2_n3R17	0	mle	1	23.6213017751	10.115386764	16.7601694222	14.0883333333	0.7971108979	0.7520244307	0.6166773498	0.0007632455	0.0015189668	0.0100681577
346	chr2	30247511	30248070	30247765	23	promoter-TSS (uc008jci.1)	promoter-TSS (NM_020329)	-146	uc008jci.1	Dolpp1	dolichyldiphosphatase 1	5.28	5.28	5.28	20.25	36.1	12.33	2.64	4.4	346-Cry2_n3R17	0	burg	1	23.3450292398	12.5099517551	15.5236134941	14.0866666667	0.6621978392	0.5871306923	0.7980786531	0.0075679962	0.0041433272	0.0274631879
347	chr5	36016781	36017400	36017005	18	intron (uc008xea.1, intron 1 of 8)	intron (NM_001042615, intron 1 of 6)	5341	uc008xea.1	Htra3	probable serine protease HTRA3 isoform a	7.04	7.04	7.04	22.01	29.06	12.33	0.88	10.57	347-Cry2_n3R17	0	burg	1	22.5536723164	10.0848844365	15.452164237	14.0866666667	0.7201991365	0.6580211669	0.6072456183	0.0032420576	0.0025688541	0.0170271181
348	chr15	88701221	88701680	88701500	16	Intergenic	Intergenic	8826	uc007xeq.1	Pim3	serine/threonine-protein kinase pim-3	9.69	8.81	15.85	14.09	24.66	10.57	7.04	18.49	348-Cry2_n3R17	1	yule-walker	1	22.9425287356	5.3399555122	14.3799609419	13.945	0.5027096311	0.3922006602	0.3865323793	0.0431265997	0.0131062202	0.0868718714
349	chr3	137889971	137890520	137890170	17	intron (uc008rnd.2, intron 6 of 8)	intron (NM_009626, intron 6 of 8)	9508	uc008rnd.2	Adh7	alcohol dehydrogenase class 4 mu/sigma chain	7.93	6.16	29.94	11.45	10.57	17.61	6.16	36.98	349-Cry2_n3R17	0	burg	1	23.3450292398	4.6562188886	9.6211780674	13.9433333333	0.1774103649	-0.0053873318	0.5735075486	0.4152642537	0.0732550325	0.4855558413
350	chr8	122128811	122129300	122129065	16	promoter-TSS (uc009npy.1)	promoter-TSS (NM_021441)	85	uc009npy.1	Taf1c	TATA box-binding protein-associated factor RNA	14.97	8.81	10.57	15.85	19.37	14.09	3.52	13.21	350-Cry2_n3R17	0	burg	1	22.0552486188	4.2610448971	17.0818262005	13.9433333333	0.7367327312	0.6782288937	0.2482518019	0.002464824	0.0022298609	0.0147801721
351	chr18	33373461	33374090	33373715	16	promoter-TSS (uc008ejr.1)	promoter-TSS (NM_133774)	-305	uc008ejr.1	Stard4	stAR-related lipid transfer protein 4	9.69	7.04	12.33	15.85	27.3	11.45	1.76	19.37	351-Cry2_n3R17	0	burg	1	23.3450292398	7.1117412327	15.1340517396	13.9433333333	0.6199398443	0.535482032	0.4690164396	0.0128628006	0.0058057071	0.0384819298
352	chr6	48384661	48385071	48384870	24	Intergenic	intron (NM_001085417, intron 4 of 4)	10958	uc009buh.1	Zfp467	zinc finger protein 467 isoform a	11.45	7.04	10.57	10.57	29.94	14.09	4.4	21.13	352-Cry2_n3R17	0	burg	1	23.9041916168	7.0774314142	16.7139627273	13.9433333333	0.4839672729	0.3692933335	0.5339294141	0.0509386705	0.0147486163	0.0977581547
353	chr6	125221481	125221890	125221695	16	intron (uc009dug.1, intron 3 of 3)	intron (NR_015527, intron 3 of 3)	6142	uc009duh.1	4930417O13Rik	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930417O13 product:unclassifiable, full insert sequence.	7.93	8.81	11.45	19.37	21.13	14.97	7.04	21.13	353-Cry2_n3R17	0	mle	1	23.7619047619	5.9700058166	14.5868967223	13.9433333333	0.8252239851	0.7863848707	0.3596433774	0.0003900931	0.001452221	0.0096257468
354	chr12	32635371	32635830	32635470	18	promoter-TSS (uc007nhu.2)	promoter-TSS (NM_153198)	-200	uc007nhu.2	Hbp1	HMG box-containing protein 1 isoform 1	11.45	4.4	14.97	14.97	17.61	20.25	6.16	24.66	354-Cry2_n3R17	1	burg	1	25.2658227848	4.6442194822	16.1972508876	13.9416666667	0.5334041566	0.4297161914	0.3617539206	0.032376798	0.0107053255	0.0709580376
355	chr13	69141491	69141890	69141755	18	Intergenic	Intergenic	-3271	uc007rcf.1	Adcy2	adenylate cyclase type 2	11.45	6.16	12.33	19.37	20.25	14.09	2.64	27.3	355-Cry2_n3R17	0	burg	1	22.1777777778	6.02650056	15.4437579172	13.9416666667	0.8131073657	0.7715756691	0.3447945164	0.00052743	0.0014645715	0.0097076098
356	chr11	20353851	20354400	20353985	15	Intergenic	MLT1H|LTR|MaLR	7725	uc011xrx.1	Gm12034	40S ribosomal protein S17	13.21	3.52	12.33	18.49	22.89	13.21	4.4	11.45	356-Cry2_n3R17	0	burg	1	22.1777777778	7.251515289	15.8556508668	13.9416666667	0.7349190664	0.6760121923	0.4274049288	0.0025421619	0.002266223	0.0150211906
357	chr7	86953511	86953900	86953760	17	Intergenic	Intergenic	-1908	uc009hzc.1	Mesp2	mesoderm posterior protein 2	6.16	6.16	14.97	19.37	24.66	12.33	5.28	9.69	357-Cry2_n3R17	1	mle	1	24.0481927711	8.072938506	13.6775985442	13.9416666667	0.8142776736	0.7730060455	0.4803713371	0.0005127298	0.0014645715	0.0097076098
358	chr5	111935421	111935780	111935595	20	Intergenic	Intergenic	-74842	uc008ysf.2	C130026L21Rik	SubName: Full=Putative uncharacterized protein;	12.33	4.4	5.28	19.37	22.89	19.37	2.64	7.93	358-Cry2_n3R17	0	burg	1	22.4269662921	8.8356935167	17.1752592117	13.94	0.8130863989	0.7715500431	0.5136949615	0.0005276963	0.0014645715	0.0097076098
359	chr1	73676891	73677290	73677150	19	intron (uc007bld.1, intron 7 of 8)	Intergenic	-222947	uc007blb.1	Pinc	Mus musculus pregnancy-induced noncoding RNA mRNA, complete sequence.	8.81	7.93	8.81	13.21	27.3	16.73	4.4	16.73	359-Cry2_n3R17	1	burg	1	23.0751445087	7.3314797931	16.7689848823	13.7983333333	0.6453754368	0.5665699783	0.4910337159	0.0094180212	0.0047528434	0.0315032402
360	chr5	135511871	135512400	135512055	20	intron (uc008zxk.1, intron 1 of 9)	B4A|SINE|B4	12693	uc008zxk.1	Stx1a	syntaxin-1A	9.69	8.81	8.81	14.97	25.54	14.97	6.16	11.45	360-Cry2_n3R17	0	burg	1	23.7619047619	6.3960846987	16.2193577985	13.7983333333	0.6614874165	0.5862623979	0.4259445466	0.0076398825	0.0041662339	0.0276150203
361	chr17	27689811	27690270	27689975	18	Intergenic	L1M5|LINE|L1	-3479	uc012aod.1	Hmga1	high mobility group protein HMG-I/HMG-Y isoform	7.93	2.64	9.69	26.42	28.18	7.93	1.76	9.69	361-Cry2_n3R17	0	burg	1	22.1777777778	12.2115636478	14.8320599705	13.7983333333	0.7783409454	0.7290833777	0.710329474	0.0011365398	0.0016571943	0.0109843698
362	chr4	129138591	129138960	129138800	16	promoter-TSS (uc008uxb.1)	promoter-TSS (NM_133889)	-148	uc008uxb.1	Bsdc1	BSD domain-containing protein 1	9.69	3.52	7.93	24.66	19.37	17.61	5.28	8.81	362-Cry2_n3R17	0	burg	1	23.9041916168	8.1186446373	15.3034948143	13.7966666667	0.6961282237	0.6286011623	0.5297483285	0.004700095	0.003119782	0.0206788298
363	chr9	102626381	102626890	102626590	14	intron (uc009rfx.1, intron 3 of 9)	intron (NM_019764, intron 3 of 9)	6501	uc009rfx.1	Amotl2	angiomotin-like protein 2	9.69	7.93	18.49	15.85	14.97	15.85	5.28	14.97	363-Cry2_n3R17	0	mle	1	24.6419753086	3.4053115408	12.53355784	13.7966666667	0.4640745539	0.3449800103	0.2697740574	0.0603906496	0.0167112883	0.11076732
364	chr5	64736341	64736711	64736570	12	exon (uc008xml.1, exon 19 of 20)	exon (NM_019636, exon 19 of 20)	122655	uc008xmo.1	AK006413	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:1700027F09 product:unclassifiable, full insert sequence.	14.09	11.45	9.69	15.85	17.61	14.09	3.52	14.09	364-Cry2_n3R17	0	burg	1	21.1216931217	3.0534615957	17.5408592204	13.7966666667	0.6568593942	0.5806059262	0.1901657231	0.0081212805	0.0043387821	0.0287587201
365	chr8	36438341	36438870	36438675	12	promoter-TSS (uc009lkw.1)	promoter-TSS (NM_177741)	-190	uc009lkw.1	Ppp1r3b	protein phosphatase 1 regulatory subunit 3B	10.57	7.93	14.97	15.85	15.85	17.61	7.93	15.85	365-Cry2_n3R17	1	mle	1	26.091503268	3.1442484148	14.5471297527	13.7966666667	0.5635551568	0.4665674139	0.2461158849	0.0239707791	0.0086969882	0.0576461885
366	chr11	31724861	31725250	31725095	13	promoter-TSS (uc011xsw.1)	Intergenic	-508	uc011xsw.1	AK158188	Mus musculus 0 day neonate kidney cDNA, RIKEN full-length enriched library, clone:D630024D03 product:unclassifiable, full insert sequence.	6.16	11.45	18.49	16.73	17.61	12.33	6.16	22.01	366-Cry2_n3R17	0	mle	1	24.1939393939	5.3023194154	11.4960477944	13.795	0.8115117093	0.7696254224	0.3120019482	0.0005479989	0.0014645715	0.0097076098
367	chr12	70784651	70785040	70784820	22	Intergenic	Intergenic	-2006	uc007nso.2	Sos2	son of sevenless homolog 2	7.04	2.64	9.69	22.01	30.82	10.57	4.4	15.85	367-Cry2_n3R17	0	burg	1	22.5536723164	11.7410754832	15.1857421115	13.795	0.7689949372	0.7176604789	0.6969685429	0.0013686637	0.0017880054	0.011851424
368	chr12	25917581	25918030	25917685	18	Intergenic	Intergenic	-136848	uc007nfe.2	Id2	DNA-binding protein inhibitor ID-2	5.28	2.64	12.33	22.01	22.01	18.49	2.64	14.97	368-Cry2_n3R17	0	default	1	24	8.9368164411	14.6690657267	13.7933333333	0.8164448114	0.7756547695	0.5585238193	0.0004863512	0.0014627766	0.0096957123
369	chr6	87823141	87823490	87823350	15	Intergenic	Intergenic	-14619	uc009cug.1	Copg	coatomer subunit gamma isoform 1	11.45	4.4	6.16	19.37	20.25	21.13	4.4	10.57	369-Cry2_n3R17	0	burg	1	23.9041916168	7.863371373	17.0158794634	13.7933333333	0.7795933749	0.7306141249	0.4940285396	0.0011079264	0.0016454697	0.0109066559
370	chr18	46794841	46795320	46795110	21	Intergenic	Intergenic	37722	uc008evs.2	Eif1a	eukaryotic translation initiation factor 1A	8.81	7.93	14.97	12.33	27.3	10.57	6.16	30.82	370-Cry2_n3R17	1	yule-walker	1	22.9425287356	6.0257129084	14.955193889	13.6516666667	0.4342818859	0.3085667495	0.4779485877	0.0770371809	0.0200480569	0.1328844012
371	chr3	79368831	79369410	79369030	20	intron (uc012cqp.1, intron 1 of 16)	intron (NM_001162999, intron 1 of 16)	2481	uc012cqp.1	Fnip2	folliculin-interacting protein 2	13.21	3.52	10.57	24.66	16.73	13.21	4.4	14.97	371-Cry2_n3R17	0	burg	1	21.4623655914	7.0776974824	15.3766499987	13.65	0.5998972408	0.5109855166	0.4664131969	0.0162095873	0.0066987839	0.0444015041
372	chr4	153668281	153668680	153668445	15	intron (uc008wbr.2, intron 1 of 14)	intron (NM_001112744, intron 1 of 14)	5524	uc008wbr.2	Arhgef16	rho guanine nucleotide exchange factor 16	8.81	7.93	11.45	20.25	20.25	13.21	3.52	7.04	372-Cry2_n3R17	1	default	1	24	6.0437686516	14.1640487653	13.65	0.8286324786	0.7905508072	0.3642158023	0.0003570083	0.0014480368	0.0095980126
373	chr15	58879251	58879630	58879415	8	intron (uc007vty.2, intron 3 of 14)	intron (NM_144800, intron 3 of 14)	34141	uc007vty.2	Mtss1	metastasis suppressor protein 1 isoform 1	13.21	8.81	16.73	14.09	14.97	14.09	5.28	23.78	373-Cry2_n3R17	0	burg	1	23.9041916168	1.7973837429	13.7349859525	13.65	0.2862135599	0.127594351	0.1775334096	0.219309437	0.0442867671	0.2935456815
374	chr2	152186291	152186630	152186435	25	intron (uc008nfg.2, intron 1 of 4)	intron (NR_033505, intron 1 of 4)	15055	uc008nfg.2	Gm14164	Mus musculus clone NIA:H4063H10 unknown mRNA.	9.69	2.64	9.69	23.78	29.94	6.16	3.52	5.28	374-Cry2_n3R17	0	burg	1	22.1777777778	11.8118387761	15.0236778945	13.65	0.711499279	0.6473880077	0.7182130534	0.0037210119	0.0027726347	0.0183778362
375	chr6	146861571	146861940	146861765	21	intron (uc009esn.2, intron 1 of 27)	intron (NM_026221, intron 1 of 26)	24739	uc009esn.2	Ppfibp1	liprin-beta-1 isoform 1	8.81	5.28	7.93	18.49	23.78	17.61	4.4	11.45	375-Cry2_n3R17	1	burg	1	23.2093023256	8.0539200063	16.2050060739	13.65	0.8288969714	0.7908740761	0.4895514521	0.0003545354	0.0014480368	0.0095980126
376	chr10	76554411	76554770	76554550	16	intron (uc007fvg.1, intron 2 of 40)	intron (NM_009929, intron 3 of 41)	21860	uc007fvg.1	Col18a1	collagen alpha-1(XVIII) chain isoform 1	14.09	8.81	19.37	12.33	14.97	12.33	5.28	29.94	376-Cry2_n3R17	0	burg	1	22.5536723164	1.6275300465	12.0670700618	13.65	0.1346082692	-0.0577010043	0.2346702089	0.5217438451	0.0881719053	0.5844292493
377	chr12	106101841	106102210	106102015	12	intron (uc007oxl.1, intron 1 of 13)	intron (NM_053155, intron 1 of 13)	1261	uc007oxl.1	Clmn	calmin isoform a	12.33	10.57	15.85	12.33	18.49	12.33	7.04	14.97	377-Cry2_n3R17	1	default	1	24	2.0411617014	14.0095966534	13.65	0.3008417981	0.1454733088	0.1960743966	0.1997972726	0.0412600443	0.2734836753
378	chr8	98357401	98357801	98357520	10	Intergenic	Intergenic	19790	uc009mzg.1	Slc38a7	putative sodium-coupled neutral amino acid	14.97	9.69	18.49	10.57	15.85	12.33	8.81	10.57	378-Cry2_n3R17	0	yule-walker	1	22.9425287356	0.636706181	12.8395746659	13.65	0.0216476423	-0.1957639928	0.2256410256	0.9062099614	0.1388750619	0.9205046428
379	chr19	36805851	36806340	36806045	22	TTS (uc008hhs.1)	TTS (NM_016854)	4999	uc008hhs.1	Ppp1r3c	protein phosphatase 1 regulatory subunit 3C	14.97	3.52	17.61	12.33	27.3	6.16	2.64	4.4	379-Cry2_n3R17	0	burg	1	23.4823529412	6.07424872	14.5538315273	13.6483333333	0.3000126505	0.1444599062	0.570845041	0.2008657362	0.0414358119	0.2746487143
380	chr4	138829271	138829700	138829465	16	intron (uc008vlv.1, intron 4 of 9)	intron (NM_001037761, intron 4 of 9)	37130	uc008vma.2	Pqlc2	PQ-loop repeat-containing protein 2	8.81	6.16	6.16	22.01	23.78	14.97	3.52	12.33	380-Cry2_n3R17	0	burg	1	23.3450292398	8.4930914022	15.626562699	13.6483333333	0.761524841	0.7085303613	0.5265477994	0.0015794074	0.0018732797	0.0124166474
381	chr15	85604611	85605320	85605055	12	intron (uc007xdj.2, intron 2 of 7)	intron (NM_011144, intron 2 of 7)	37162	uc011zxp.1	2210021J22Rik	hypothetical protein LOC72355	16.73	11.45	22.01	11.45	6.16	14.09	8.81	25.54	381-Cry2_n3R17	1	burg	1	21.3475935829	3.7235508354	6.9366210777	13.6483333333	0.274133741	0.1128301279	0.3606216524	0.2365128501	0.047095066	0.3121599105
382	chr4	116380951	116381330	116381095	22	promoter-TSS (uc008uhe.1)	promoter-TSS (NM_025962)	-150	uc008uhe.1	Mmachc	methylmalonic aciduria and homocystinuria type C	2.64	7.04	11.45	15.85	34.34	10.57	5.28	14.97	382-Cry2_n3R17	0	burg	1	24.3414634146	10.1455052619	14.281877476	13.6483333333	0.560938357	0.463369103	0.7400743328	0.0246243481	0.0088698091	0.0587916964
383	chr19	42203621	42204030	42203805	17	promoter-TSS (uc008hnh.1)	promoter-TSS (NM_027106)	-342	uc008hnh.1	Avpi1	arginine vasopressin-induced protein 1	5.28	5.28	6.16	22.01	29.94	13.21	1.76	5.28	383-Cry2_n3R17	0	mle	1	23.4823529412	10.9592711843	15.1964902874	13.6466666667	0.744282791	0.6874567445	0.6897873849	0.0021623192	0.0021059393	0.0139587833
384	chr7	71062611	71062970	71062755	17	intron (uc009hfn.2, intron 1 of 1)	intron (NM_021366, intron 1 of 1)	21011	uc009hfn.2	Klf13	Krueppel-like factor 13	8.81	12.33	13.21	13.21	22.89	10.57	9.69	12.33	384-Cry2_n3R17	0	mle	1	24.3414634146	3.8106564578	13.6801835958	13.5033333333	0.3828371865	0.2456898946	0.3315876825	0.1139721854	0.0269184639	0.1784234739
385	chr18	21089871	21090310	21090115	16	Intergenic	Intergenic	-13036	uc008eez.1	Rnf125	E3 ubiquitin-protein ligase RNF125	14.97	7.93	13.21	8.81	21.13	14.97	5.28	41.39	385-Cry2_n3R17	0	burg	1	23.6213017751	3.9533726955	18.3954912512	13.5033333333	0.418421385	0.2891816928	0.3251205629	0.0872444743	0.0219808737	0.145695678
386	chr5	43444021	43444310	43444160	28	Intergenic	MIRb|SINE|MIR	-180537	uc012dvt.1	Cpeb2	cytoplasmic polyadenylation element-binding	12.33	1.76	7.04	13.21	29.06	17.61	2.64	13.21	386-Cry2_n3R17	0	burg	1	22.5536723164	10.2568926313	17.3301428318	13.5016666667	0.7541976843	0.6995749474	0.6342670592	0.0018098262	0.0019739446	0.0130838836
387	chr7	148487341	148487790	148487580	27	exon (uc009kkn.2, exon 11 of 12)	exon (NM_016874, exon 11 of 12)	9660	uc009kkm.1	Drd4	D(4) dopamine receptor	7.93	2.64	7.04	17.61	34.34	11.45	0.88	4.4	387-Cry2_n3R17	0	burg	1	22.9425287356	11.8590958297	15.8481539957	13.5016666667	0.6759370259	0.6039230316	0.7685738686	0.0062781597	0.0037217056	0.0246685561
388	chr5	66453611	66454070	66453725	24	intron (uc008xol.2, intron 2 of 6)	MIRb|SINE|MIR	35577	uc008xol.2	Rbm47	RNA-binding protein 47	6.16	2.64	13.21	26.42	21.13	11.45	4.4	18.49	388-Cry2_n3R17	0	mle	1	24.0481927711	10.1405054977	13.3919847027	13.5016666667	0.8350794021	0.7984303804	0.6056780779	0.0003004257	0.001387059	0.009193834
389	chr2	4917371	4917621	4917505	22	intron (uc008ifi.2, intron 14 of 19)	RCHARR1|DNA|MER1_type	16341	uc008ifi.2	Mcm10	protein MCM10 homolog	9.69	4.4	11.45	18.49	22.89	14.09	3.52	15.85	389-Cry2_n3R17	0	mle	1	22.8114285714	7.4089211749	15.4522930704	13.5016666667	0.8225110487	0.7830690595	0.4433070006	0.0004180911	0.0014546918	0.0096421237
390	chr12	82010741	82011020	82010885	22	Intergenic	Intergenic	14554	uc007obk.2	1700052I22Rik	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:1700052I22 product:unclassifiable, full insert sequence.	14.09	2.64	9.69	14.97	17.61	22.01	7.04	14.09	390-Cry2_n3R17	0	mle	1	23.9041916168	6.7984299579	17.9439625369	13.5016666667	0.7052884374	0.639796979	0.4528238045	0.0040953148	0.0029059677	0.0192616063
391	chr11	69230901	69231410	69231140	17	Intergenic	Intergenic	-3980	uc007jqe.1	Kdm6b	lysine-specific demethylase 6B	18.49	6.16	10.57	13.21	14.97	17.61	3.52	14.97	391-Cry2_n3R17	1	mle	1	23.2093023256	4.5799808438	19.3124918323	13.5016666667	0.6048724313	0.5170663049	0.3120377037	0.0153220895	0.0064720214	0.0428984561
392	chr7	121466621	121466981	121466855	13	Intergenic	intron (NR_029437, intron 1 of 3)	-47171	uc009jhy.1	Psma1	proteasome subunit alpha type-1	14.09	5.28	22.01	14.97	14.09	10.57	4.4	22.01	392-Cry2_n3R17	0	burg	1	22.0552486188	3.7585999699	12.2587095662	13.5016666667	0.293745857	0.1368004919	0.3720862721	0.2090857996	0.0427155488	0.2831311859
393	chr19	37776861	37777420	37777095	13	Intergenic	Intergenic	4842	uc008his.2	Cyp26a1	cytochrome P450 26A1	11.45	6.16	12.33	18.49	22.89	9.69	6.16	19.37	393-Cry2_n3R17	0	burg	1	22.1777777778	6.7470348862	15.0706001896	13.5016666667	0.7184736836	0.6559122799	0.4135221374	0.0033330014	0.0026043846	0.0172626249
394	chr8	124805401	124805811	124805510	17	promoter-TSS (uc009nsj.1)	promoter-TSS (NM_009569)	-435	uc009nsj.1	Zfpm1	zinc finger protein ZFPM1	7.04	4.4	2.64	18.49	29.94	18.49	4.4	5.28	394-Cry2_n3R17	1	burg	1	22.8114285714	11.438570079	16.7189941997	13.5	0.7657613254	0.7137082866	0.7172542014	0.0014570139	0.0018216013	0.0120741074
395	chr11	3931031	3931680	3931355	15	promoter-TSS (uc007hue.1)	promoter-TSS (NM_146013)	-430	uc007hue.1	Sec14l4	SEC14-like protein 4	8.81	4.4	13.21	15.85	23.78	14.09	2.64	20.25	395-Cry2_n3R17	0	burg	1	22.8114285714	7.004549651	15.41137048	13.3566666667	0.7365265996	0.6779769551	0.449542278	0.0024735204	0.0022337537	0.0148059746
396	chr14	30809331	30809780	30809475	19	3' UTR (uc007sun.1, exon 11 of 11)	3' UTR (NM_019583, exon 11 of 11)	12527	uc007sun.1	Il17rb	interleukin-17 receptor B precursor	9.69	5.28	13.21	11.45	26.42	14.09	3.52	37.86	396-Cry2_n3R17	0	mle	1	24.6419753086	6.1493600444	15.653980309	13.3566666667	0.5107842228	0.4020696056	0.4866698017	0.0400637914	0.0124584058	0.0825779675
397	chr7	4764231	4764700	4764350	16	promoter-TSS (uc009eyt.1)	promoter-TSS (NM_133777)	-523	uc009eyt.1	Ube2s	ubiquitin-conjugating enzyme E2 S	11.45	9.69	9.69	14.09	22.89	12.33	4.4	26.42	397-Cry2_n3R17	0	burg	1	23.2093023256	4.8090791703	16.2386037614	13.3566666667	0.5806555422	0.4874678849	0.3389844561	0.0200248414	0.0076916344	0.050982409
398	chr10	127986071	127986530	127986370	11	promoter-TSS (uc007hnk.2)	promoter-TSS (NM_018860)	-76	uc007hnk.2	Rpl41	60S ribosomal protein L41	10.57	8.81	14.97	17.61	16.73	11.45	4.4	17.61	398-Cry2_n3R17	0	mle	1	23.9041916168	4.1422363544	12.8860208902	13.3566666667	0.8465173014	0.8124100351	0.2448000648	0.0002174039	0.0013702553	0.009082454
